"action","authority","title","publisher","publishing_line","start_year","record_id"
"ADD SERIES","Final Boss","Final Boss","Image","Image Central","","IMS-0152"
"ADD AUTHORITY","Fine Print","","Image","Image Central","","IMA-0163"
"ADD SERIES","Fine Print","Fine Print","Image","Image Central","","IMS-0153"
"ADD AUTHORITY","Fire Power","","Image","Skybound","","IMA-0164"
"REPAIR SERIES","Fire Power","Fire Power","Image","Skybound","","SER-01134"
"ADD AUTHORITY","FIREBORN","","Image","Image Central","","IMA-0165"
"ADD SERIES","FIREBORN","FIREBORN","Image","Image Central","","IMS-0154"
"ADD AUTHORITY","First Knife","","Image","Image Central","","IMA-0166"
"ADD SERIES","First Knife","First Knife","Image","Image Central","","IMS-0155"
"ADD AUTHORITY","FISHFLIES","","Image","Image Central","","IMA-0167"
"ADD SERIES","FISHFLIES","FISHFLIES","Image","Image Central","","IMS-0156"
"ADD AUTHORITY","Five Fists of Science","","Image","Image Central","","IMA-0168"
"ADD SERIES","Five Fists of Science","Five Fists of Science","Image","Image Central","","IMS-0157"
"ADD AUTHORITY","Five Weapons","","Image","Shadowline","","IMA-0169"
"ADD SERIES","Five Weapons","Five Weapons","Image","Shadowline","","IMS-0158"
"ADD AUTHORITY","Free Planet","","Image","Image Central","","IMA-0170"
"ADD SERIES","Free Planet","Free Planet","Image","Image Central","","IMS-0159"
"ADD AUTHORITY","Friday","","Image","Image Central","","IMA-0171"
"ADD SERIES","Friday","Friday","Image","Image Central","","IMS-0160"
"ADD AUTHORITY","Frontiersman","","Image","Image Central","","IMA-0172"
"ADD SERIES","Frontiersman","Frontiersman","Image","Image Central","","IMS-0161"
"ADD SERIES","G.I. Joe","G.I. Joe","Image","Skybound / Energon Universe","","IMS-0162"
"ADD SERIES","G.I. Joe","G.I. Joe A Real American Hero","Image","Skybound / Energon Universe","","IMS-0163"
"ADD AUTHORITY","Gasolina","","Image","Skybound","","IMA-0173"
"ADD SERIES","Gasolina","Gasolina","Image","Skybound","","IMS-0164"
"ADD AUTHORITY","Gehenna Naked Aggression","","Image","Image Central","","IMA-0174"
"ADD SERIES","Gehenna Naked Aggression","Gehenna Naked Aggression","Image","Image Central","","IMS-0165"
"ADD AUTHORITY","Geiger","","Image","Ghost Machine","","IMA-0175"
"REPAIR SERIES","Geiger","Geiger","Image","Ghost Machine","","SER-01135"
"REPAIR SERIES","Geiger","Geiger","Image","Ghost Machine","2024","SER-01135"
"ADD AUTHORITY","Genius","","Image","Top Cow Productions","","IMA-0176"
"ADD SERIES","Genius","Genius","Image","Top Cow Productions","","IMS-0166"
"ADD AUTHORITY","Ghost Cage","","Image","Image Central","","IMA-0177"
"ADD SERIES","Ghost Cage","Ghost Cage","Image","Image Central","","IMS-0167"
"ADD AUTHORITY","GHOST MACHINE","","Image","Ghost Machine","","IMA-0178"
"ADD SERIES","GHOST MACHINE","GHOST MACHINE","Image","Ghost Machine","","IMS-0168"
"ADD AUTHORITY","Ghost Pepper","","Image","Image Central","","IMA-0179"
"ADD SERIES","Ghost Pepper","Ghost Pepper","Image","Image Central","","IMS-0169"
"ADD AUTHORITY","Ghosted","","Image","Skybound","","IMA-0180"
"ADD SERIES","Ghosted","Ghosted","Image","Skybound","","IMS-0170"
"REPAIR SERIES","Gideon Falls","Gideon Falls","Image","Image Central","","SER-00304"
"ADD AUTHORITY","Glory","","Image","Extreme Studios / Awesome Comics","","IMA-0181"
"ADD SERIES","Glory","Glory","Image","Extreme Studios / Awesome Comics","","IMS-0171"
"ADD AUTHORITY","God Complex: Dogma","","Image","Top Cow Productions","","IMA-0182"
"ADD SERIES","God Complex: Dogma","God Complex: Dogma","Image","Top Cow Productions","","IMS-0172"
"ADD AUTHORITY","God Country","","Image","Image Central","","IMA-0183"
"REPAIR SERIES","God Country","God Country","Image","Image Central","","SER-01136"
"ADD AUTHORITY","God Hates Astronauts","","Image","Image Central","","IMA-0184"
"ADD SERIES","God Hates Astronauts","God Hates Astronauts","Image","Image Central","","IMS-0173"
"ADD AUTHORITY","Golden Rage","","Image","Image Central","","IMA-0185"
"ADD SERIES","Golden Rage","Golden Rage","Image","Image Central","","IMS-0174"
"ADD SERIES","Golden Rage","Golden Rage: Mother Knows Best","Image","Image Central","","IMS-0175"
"ADD AUTHORITY","Golgotha","","Image","Image Central","","IMA-0186"
"ADD SERIES","Golgotha","Golgotha","Image","Image Central","","IMS-0176"
"ADD AUTHORITY","Gospel","","Image","Image Central","","IMA-0187"
"ADD SERIES","Gospel","Gospel","Image","Image Central","","IMS-0177"
"ADD AUTHORITY","Green Valley","","Image","Image Central","","IMA-0188"
"ADD SERIES","Green Valley","Green Valley","Image","Image Central","","IMS-0178"
"ADD AUTHORITY","Green Wake","","Image","Shadowline","","IMA-0189"
"ADD SERIES","Green Wake","Green Wake","Image","Shadowline","","IMS-0179"
"ADD AUTHORITY","Grip Of The Kombinat","","Image","Image Central","","IMA-0190"
"ADD SERIES","Grip Of The Kombinat","Grip Of The Kombinat","Image","Image Central","","IMS-0180"
"ADD AUTHORITY","Griz Grobus","","Image","Image Central","","IMA-0191"
"ADD SERIES","Griz Grobus","Griz Grobus","Image","Image Central","","IMS-0181"
"ADD AUTHORITY","Grizzlyshark","","Image","Image Central","","IMA-0192"
"ADD SERIES","Grizzlyshark","Grizzlyshark","Image","Image Central","","IMS-0182"
"ADD AUTHORITY","grommets","","Image","Image Central","","IMA-0193"
"ADD SERIES","grommets","grommets","Image","Image Central","","IMS-0183"
"ADD AUTHORITY","Guarding the Globe","","Image","Image Central","","IMA-0194"
"ADD SERIES","Guarding the Globe","Guarding the Globe","Image","Image Central","","IMS-0184"
"REPAIR SERIES","Spawn","Gunslinger Spawn","Image","Todd McFarlane Productions / Spawn Universe","","SER-01137"
"ADD AUTHORITY","Habitat","","Image","Image Central","","IMA-0195"
"ADD SERIES","Habitat","Habitat","Image","Image Central","","IMS-0185"
"ADD SERIES","Hack/Slash","Hack/Slash","Image","Image Central","","IMS-0186"
"ADD AUTHORITY","Hadrian's Wall","","Image","Image Central","","IMA-0196"
"ADD SERIES","Hadrian's Wall","Hadrian's Wall","Image","Image Central","","IMS-0187"
"ADD AUTHORITY","Haha","","Image","Image Central","","IMA-0197"
"ADD SERIES","Haha","Haha","Image","Image Central","","IMS-0188"
"ADD AUTHORITY","Halloween Party","","Image","Image Central","","IMA-0198"
"ADD SERIES","Halloween Party","Halloween Party","Image","Image Central","","IMS-0189"
"ADD AUTHORITY","Happy!","","Image","Image Central","","IMA-0199"
"ADD SERIES","Happy!","Happy!","Image","Image Central","","IMS-0190"
"ADD AUTHORITY","Hardcore","","Image","Skybound","","IMA-0200"
"ADD SERIES","Hardcore","Hardcore","Image","Skybound","","IMS-0191"
"ADD AUTHORITY","Haunt","","Image","Todd McFarlane Productions / Spawn Universe","","IMA-0201"
"REPAIR SERIES","Haunt","Haunt","Image","Todd McFarlane Productions / Spawn Universe","","SER-01138"
"ADD AUTHORITY","Haunt You to The End","","Image","Image Central","","IMA-0202"
"ADD SERIES","Haunt You to The End","Haunt You to The End","Image","Image Central","","IMS-0192"
"ADD AUTHORITY","HAUNTHOLOGY","","Image","Image Central","","IMA-0203"
"ADD SERIES","HAUNTHOLOGY","HAUNTHOLOGY","Image","Image Central","","IMS-0193"
"REPAIR SERIES","Head Lopper","Head Lopper","Image","Image Central","","SER-00344"
"ADD AUTHORITY","Heart Attack","","Image","Skybound","","IMA-0204"
"ADD SERIES","Heart Attack","Heart Attack","Image","Skybound","","IMS-0194"
"ADD AUTHORITY","Heavy Liquid","","Image","Image Central","","IMA-0205"
"ADD SERIES","Heavy Liquid","Heavy Liquid","Image","Image Central","","IMS-0195"
"ADD AUTHORITY","Hedra","","Image","Image Central","","IMA-0206"
"ADD SERIES","Hedra","Hedra","Image","Image Central","","IMS-0196"
"ADD AUTHORITY","Hell to Pay","","Image","Image Central","","IMA-0207"
"ADD SERIES","Hell to Pay","Hell to Pay","Image","Image Central","","IMS-0197"
"ADD AUTHORITY","Hell Yeah","","Image","Image Central","","IMA-0208"
"ADD SERIES","Hell Yeah","Hell Yeah","Image","Image Central","","IMS-0198"
"ADD AUTHORITY","Hellcop","","Image","Image Central","","IMA-0209"
"ADD SERIES","Hellcop","Hellcop","Image","Image Central","","IMS-0199"
"ADD AUTHORITY","Helm Greycastle","","Image","Image Central","","IMA-0210"
"ADD SERIES","Helm Greycastle","Helm Greycastle","Image","Image Central","","IMS-0200"
"ADD AUTHORITY","Hexagon Bridge","","Image","Image Central","","IMA-0211"
"ADD SERIES","Hexagon Bridge","Hexagon Bridge","Image","Image Central","","IMS-0201"
"ADD AUTHORITY","HEXWARE","","Image","Image Central","","IMA-0212"
"ADD SERIES","HEXWARE","HEXWARE","Image","Image Central","","IMS-0202"
"ADD AUTHORITY","Hey Kids! Comics!","","Image","Image Central","","IMA-0213"
"ADD SERIES","Hey Kids! Comics!","Hey Kids! Comics!","Image","Image Central","","IMS-0203"
"ADD AUTHORITY","Hinges","","Image","Image Central","","IMA-0214"
"ADD SERIES","Hinges","Hinges","Image","Image Central","","IMS-0204"
"ADD AUTHORITY","Hit-Girl","","Image","Millarworld","","IMA-0215"
"ADD SERIES","Hit-Girl","Hit-Girl","Image","Millarworld","","IMS-0205"
"ADD AUTHORITY","Hitomi","","Image","Image Central","","IMA-0216"
"ADD SERIES","Hitomi","Hitomi","Image","Image Central","","IMS-0206"
"ADD AUTHORITY","Home","","Image","Image Central","","IMA-0217"
"ADD SERIES","Home","Home","Image","Image Central","","IMS-0207"
"ADD AUTHORITY","Home Sick Pilots","","Image","Image Central","","IMA-0218"
"ADD SERIES","Home Sick Pilots","Home Sick Pilots","Image","Image Central","","IMS-0208"
"ADD AUTHORITY","Horizon","","Image","Skybound","","IMA-0219"
"ADD SERIES","Horizon","Horizon","Image","Skybound","","IMS-0209"
"ADD AUTHORITY","Hornsby & Halo","","Image","Ghost Machine","","IMA-0220"
"ADD SERIES","Hornsby & Halo","Hornsby & Halo","Image","Ghost Machine","","IMS-0210"
"ADD AUTHORITY","Houses of The Unholy","","Image","Image Central","","IMA-0221"
"ADD SERIES","Houses of The Unholy","Houses of The Unholy","Image","Image Central","","IMS-0211"
"ADD AUTHORITY","Howtoons","","Image","Image Central","","IMA-0222"
"ADD SERIES","Howtoons","Howtoons","Image","Image Central","","IMS-0212"
"ADD AUTHORITY","Huck","","Image","Millarworld","","IMA-0223"
"ADD SERIES","Huck","Huck","Image","Millarworld","","IMS-0213"
"ADD AUTHORITY","Hyde Street","","Image","Ghost Machine","","IMA-0224"
"REPAIR SERIES","Hyde Street","Hyde Street","Image","Ghost Machine","","SER-01185"
"ADD AUTHORITY","I Hate Fairyland","","Image","Image Central","","IMA-0225"
"REPAIR SERIES","I Hate Fairyland","I Hate Fairyland","Image","Image Central","","SER-01139"
"REPAIR SERIES","I Hate Fairyland","I Hate Fairyland","Image","Image Central","2022","SER-01139"
"ADD AUTHORITY","I Hate This Place","","Image","Skybound","","IMA-0226"
"ADD SERIES","I Hate This Place","I Hate This Place","Image","Skybound","","IMS-0214"
"ADD AUTHORITY","I Kill Giants","","Image","Image Central","","IMA-0227"
"ADD SERIES","I Kill Giants","I Kill Giants","Image","Image Central","","IMS-0215"
"ADD SERIES","Spawn","I Saw Santa A Spawn Universe Christmas Story","Image","Todd McFarlane Productions / Spawn Universe","","IMS-0216"
"ADD AUTHORITY","I Was A Fashion School Serial Killer","","Image","Image Central","","IMA-0228"
"ADD SERIES","I Was A Fashion School Serial Killer","I Was A Fashion School Serial Killer","Image","Image Central","","IMS-0217"
"ADD AUTHORITY","I.D.","","Image","Image Central","","IMA-0229"
"ADD SERIES","I.D.","I.D.","Image","Image Central","","IMS-0218"
"REPAIR SERIES","Ice Cream Man","Ice Cream Man","Image","Image Central","","SER-00367"
"ADD AUTHORITY","Image Firsts Compendium","","Image","Image Central","","IMA-0230"
"ADD SERIES","Image Firsts Compendium","Image Firsts Compendium","Image","Image Central","","IMS-0219"
"ADD AUTHORITY","Image!","","Image","Image Central","","IMA-0231"
"ADD SERIES","Image!","Image!","Image","Image Central","","IMS-0220"
"ADD AUTHORITY","Immortal Sergeant","","Image","Image Central","","IMA-0232"
"ADD SERIES","Immortal Sergeant","Immortal Sergeant","Image","Image Central","","IMS-0221"
"ADD AUTHORITY","Impact Winter","","Image","Skybound","","IMA-0233"
"ADD SERIES","Impact Winter","Impact Winter","Image","Skybound","","IMS-0222"
"ADD AUTHORITY","Impaler","","Image","Top Cow Productions","","IMA-0234"
"ADD SERIES","Impaler","Impaler","Image","Top Cow Productions","","IMS-0223"
"ADD AUTHORITY","In Hell We Fight!","","Image","Image Central","","IMA-0235"
"ADD SERIES","In Hell We Fight!","In Hell We Fight!","Image","Image Central","","IMS-0224"
"ADD AUTHORITY","Indigo Children","","Image","Image Central","","IMA-0236"
"ADD SERIES","Indigo Children","Indigo Children","Image","Image Central","","IMS-0225"
"ADD AUTHORITY","Inferno Girl Red","","Image","Massive-Verse","","IMA-0237"
"ADD SERIES","Inferno Girl Red","Inferno Girl Red","Image","Massive-Verse","","IMS-0226"
"ADD AUTHORITY","Infidel","","Image","Image Central","","IMA-0238"
"REPAIR SERIES","Infidel","Infidel","Image","Image Central","","SER-01140"
"ADD AUTHORITY","Infinite Dark","","Image","Image Central","","IMA-0239"
"ADD SERIES","Infinite Dark","Infinite Dark","Image","Image Central","","IMS-0227"
"ADD AUTHORITY","Infinite Vacation","","Image","Image Central","","IMA-0240"
"ADD SERIES","Infinite Vacation","Infinite Vacation","Image","Image Central","","IMS-0228"
"REPAIR SERIES","Injection","Injection","Image","Image Central","","SER-00384"
"ADD AUTHORITY","Inkblot","","Image","Image Central","","IMA-0241"
"ADD SERIES","Inkblot","Inkblot","Image","Image Central","","IMS-0229"
"REPAIR SERIES","Invincible","Invincible","Image","Skybound","","SER-00385"
"ADD AUTHORITY","Isola","","Image","Image Central","","IMA-0242"
"REPAIR SERIES","Isola","Isola","Image","Image Central","","SER-01141"
"ADD AUTHORITY","It's Lonely at the Centre of the Earth","","Image","Image Central","","IMA-0243"
"ADD SERIES","It's Lonely at the Centre of the Earth","It's Lonely at the Centre of the Earth","Image","Image Central","","IMS-0230"
"ADD AUTHORITY","IXth Generation","","Image","Top Cow Productions","","IMA-0244"
"ADD SERIES","IXth Generation","IXth Generation","Image","Top Cow Productions","","IMS-0231"
"ADD AUTHORITY","JACK KIRBY’S STARR WARRIORS: THE ADVENTURES OF ADAM STARR AND THE SOLAR LEGION","","Image","Image Central","","IMA-0245"
"ADD SERIES","JACK KIRBY’S STARR WARRIORS: THE ADVENTURES OF ADAM STARR AND THE SOLAR LEGION","JACK KIRBY’S STARR WARRIORS: THE ADVENTURES OF ADAM STARR AND THE SOLAR LEGION","Image","Image Central","","IMS-0232"
"ADD AUTHORITY","Jan's Atomic Heart and Other Stories","","Image","Image Central","","IMA-0246"
"ADD SERIES","Jan's Atomic Heart and Other Stories","Jan's Atomic Heart and Other Stories","Image","Image Central","","IMS-0233"
"ADD AUTHORITY","Jim Lives","","Image","Image Central","","IMA-0247"
"ADD SERIES","Jim Lives","Jim Lives","Image","Image Central","","IMS-0234"
"ADD AUTHORITY","Jules Verne's: Lighthouse","","Image","Image Central","","IMA-0248"
"ADD SERIES","Jules Verne's: Lighthouse","Jules Verne's: Lighthouse","Image","Image Central","","IMS-0235"
"ADD AUTHORITY","JUNIOR BAKER THE RIGHTEOUS FAKER","","Image","Image Central","","IMA-0249"
"ADD SERIES","JUNIOR BAKER THE RIGHTEOUS FAKER","JUNIOR BAKER THE RIGHTEOUS FAKER","Image","Image Central","","IMS-0236"
"ADD AUTHORITY","Junk Rabbit","","Image","Image Central","","IMA-0250"
"ADD SERIES","Junk Rabbit","Junk Rabbit","Image","Image Central","","IMS-0237"
"ADD AUTHORITY","Junkyard Joe","","Image","Ghost Machine","","IMA-0251"
"REPAIR SERIES","Junkyard Joe","Junkyard Joe","Image","Ghost Machine","","SER-01183"
"ADD AUTHORITY","Juvenile","","Image","Image Central","","IMA-0252"
"ADD SERIES","Juvenile","Juvenile","Image","Image Central","","IMS-0238"
"ADD AUTHORITY","Kane and Able","","Image","Image Central","","IMA-0253"
"ADD SERIES","Kane and Able","Kane and Able","Image","Image Central","","IMS-0239"
"ADD AUTHORITY","Kaptara","","Image","Image Central","","IMA-0254"
"ADD SERIES","Kaptara","Kaptara","Image","Image Central","","IMS-0240"
"ADD AUTHORITY","Karmen","","Image","Image Central","","IMA-0255"
"ADD SERIES","Karmen","Karmen","Image","Image Central","","IMS-0241"
"ADD AUTHORITY","Kaya","","Image","Image Central","","IMA-0256"
"REPAIR SERIES","Kaya","Kaya","Image","Image Central","","SER-01142"
"REPAIR SERIES","Kick-Ass","Kick-Ass","Image","Millarworld","","SER-01143"
"REPAIR SERIES","Kill or Be Killed","Kill or Be Killed","Image","Image Central","","SER-00427"
"ADD AUTHORITY","Kill Six Billion Demons","","Image","Image Central","","IMA-0257"
"ADD SERIES","Kill Six Billion Demons","Kill Six Billion Demons","Image","Image Central","","IMS-0242"
"ADD AUTHORITY","Kill The Minotaur","","Image","Skybound","","IMA-0258"
"ADD SERIES","Kill The Minotaur","Kill The Minotaur","Image","Skybound","","IMS-0243"
"ADD AUTHORITY","KILL YOUR DARLINGS","","Image","Image Central","","IMA-0259"
"ADD SERIES","KILL YOUR DARLINGS","KILL YOUR DARLINGS","Image","Image Central","","IMS-0244"
"ADD AUTHORITY","Killadelphia","","Image","Image Central","","IMA-0260"
"ADD SERIES","Killadelphia","Killadelphia","Image","Image Central","","IMS-0245"
"ADD AUTHORITY","King of Spies","","Image","Millarworld","","IMA-0261"
"ADD SERIES","King of Spies","King of Spies","Image","Millarworld","","IMS-0246"
"REPAIR SERIES","Spawn","King Spawn","Image","Todd McFarlane Productions / Spawn Universe","","SER-01144"
"ADD AUTHORITY","Klik Klik Boom","","Image","Image Central","","IMA-0262"
"ADD SERIES","Klik Klik Boom","Klik Klik Boom","Image","Image Central","","IMS-0247"
"ADD AUTHORITY","Kroma By De Felici","","Image","Image Central","","IMA-0263"
"ADD SERIES","Kroma By De Felici","Kroma By De Felici","Image","Image Central","","IMS-0248"
"ADD AUTHORITY","La Mano Del Destino","","Image","Image Central","","IMA-0264"
"ADD SERIES","La Mano Del Destino","La Mano Del Destino","Image","Image Central","","IMS-0249"
"ADD AUTHORITY","La Voz De M.A.Y.O.: Tata Rambo","","Image","Image Central","","IMA-0265"
"ADD SERIES","La Voz De M.A.Y.O.: Tata Rambo","La Voz De M.A.Y.O.: Tata Rambo","Image","Image Central","","IMS-0250"
"ADD AUTHORITY","Lady Mechanika","","Image","Image Central","","IMA-0266"
"ADD SERIES","Lady Mechanika","Lady Mechanika","Image","Image Central","","IMS-0251"
"ADD AUTHORITY","Lady Pendragon","","Image","Image Central","","IMA-0267"
"ADD SERIES","Lady Pendragon","Lady Pendragon","Image","Image Central","","IMS-0252"
"ADD AUTHORITY","Lake of Fire","","Image","Image Central","","IMA-0268"
"ADD SERIES","Lake of Fire","Lake of Fire","Image","Image Central","","IMS-0253"
"ADD AUTHORITY","Last Christmas","","Image","Image Central","","IMA-0269"
"ADD SERIES","Last Christmas","Last Christmas","Image","Image Central","","IMS-0254"
"ADD AUTHORITY","Last of the Independents","","Image","Image Central","","IMA-0270"
"ADD SERIES","Last of the Independents","Last of the Independents","Image","Image Central","","IMS-0255"
"ADD AUTHORITY","Lastman","","Image","Image Central","","IMA-0271"
"ADD SERIES","Lastman","Lastman","Image","Image Central","","IMS-0256"
"ADD AUTHORITY","Lazarus","","Image","Image Central","","IMA-0272"
"REPAIR SERIES","Lazarus","Lazarus","Image","Image Central","","SER-01145"
"ADD SERIES","Lazarus","Lazarus Fallen","Image","Image Central","","IMS-0257"
"ADD AUTHORITY","Lego Ninjago","","Image","Skybound","","IMA-0273"
"ADD SERIES","Lego Ninjago","Lego Ninjago","Image","Skybound","","IMS-0258"
"ADD AUTHORITY","Leone","","Image","Image Central","","IMA-0274"
"ADD SERIES","Leone","Leone","Image","Image Central","","IMS-0259"
"ADD SERIES","Letter 44","Letter 44","Image","Image Central","","IMS-0260"
"ADD AUTHORITY","Life House","","Image","Image Central","","IMA-0275"
"ADD SERIES","Life House","Life House","Image","Image Central","","IMS-0261"
"ADD AUTHORITY","Limbo","","Image","Image Central","","IMA-0276"
"ADD SERIES","Limbo","Limbo","Image","Image Central","","IMS-0262"
"ADD AUTHORITY","Little Bird","","Image","Image Central","","IMA-0277"
"REPAIR SERIES","Little Bird","Little Bird","Image","Image Central","","SER-01146"
"ADD AUTHORITY","Little Monsters","","Image","Image Central","","IMA-0278"
"ADD SERIES","Little Monsters","Little Monsters","Image","Image Central","","IMS-0263"
"ADD AUTHORITY","Loaded Bible","","Image","Image Central","","IMA-0279"
"ADD SERIES","Loaded Bible","Loaded Bible","Image","Image Central","","IMS-0264"
"ADD AUTHORITY","Local Man","","Image","Image Central","","IMA-0280"
"REPAIR SERIES","Local Man","Local Man","Image","Image Central","","SER-01147"
"ADD AUTHORITY","Long Hot Summer","","Image","Image Central","","IMA-0281"
"ADD SERIES","Long Hot Summer","Long Hot Summer","Image","Image Central","","IMS-0265"
"ADD AUTHORITY","lore","","Image","Image Central","","IMA-0282"
"ADD SERIES","lore","lore","Image","Image Central","","IMS-0266"
"ADD AUTHORITY","Lost Fantasy","","Image","Image Central","","IMA-0283"
"ADD SERIES","Lost Fantasy","Lost Fantasy","Image","Image Central","","IMS-0267"
"ADD AUTHORITY","Love Everlasting","","Image","Image Central","","IMA-0284"
"ADD SERIES","Love Everlasting","Love Everlasting","Image","Image Central","","IMS-0268"
"ADD AUTHORITY","Lovesick","","Image","Image Central","","IMA-0285"
"ADD SERIES","Lovesick","Lovesick","Image","Image Central","","IMS-0269"
"REPAIR SERIES","Low","Low","Image","Image Central","","SER-00448"
"ADD AUTHORITY","Lucy Claire: Redemption","","Image","Image Central","","IMA-0286"
"ADD SERIES","Lucy Claire: Redemption","Lucy Claire: Redemption","Image","Image Central","","IMS-0270"
"ADD AUTHORITY","M.O.M.: Mother of Madness","","Image","Image Central","","IMA-0287"
"ADD SERIES","M.O.M.: Mother of Madness","M.O.M.: Mother of Madness","Image","Image Central","","IMS-0271"
"ADD AUTHORITY","Made In Korea","","Image","Image Central","","IMA-0288"
"ADD SERIES","Made In Korea","Made In Korea","Image","Image Central","","IMS-0272"
"ADD AUTHORITY","Madi","","Image","Image Central","","IMA-0289"
"ADD SERIES","Madi","Madi","Image","Image Central","","IMS-0273"
"ADD AUTHORITY","Maestros","","Image","Image Central","","IMA-0290"
"ADD SERIES","Maestros","Maestros","Image","Image Central","","IMS-0274"
"ADD AUTHORITY","Magdalena","","Image","Top Cow Productions","","IMA-0291"
"ADD SERIES","Magdalena","Magdalena","Image","Top Cow Productions","","IMS-0275"
"ADD AUTHORITY","Mage","","Image","Image Central","","IMA-0292"
"ADD SERIES","Mage","Mage","Image","Image Central","","IMS-0276"
"ADD AUTHORITY","Malevolent","","Image","Image Central","","IMA-0293"
"ADD SERIES","Malevolent","Malevolent","Image","Image Central","","IMS-0277"
"ADD AUTHORITY","Manifest Destiny","","Image","Skybound","","IMA-0294"
"REPAIR SERIES","Manifest Destiny","Manifest Destiny","Image","Skybound","","SER-01148"
"ADD AUTHORITY","Marineman","","Image","Image Central","","IMA-0295"
"ADD SERIES","Marineman","Marineman","Image","Image Central","","IMS-0278"
"ADD AUTHORITY","Mawrth Valliis","","Image","Image Central","","IMA-0296"
"ADD SERIES","Mawrth Valliis","Mawrth Valliis","Image","Image Central","","IMS-0279"
"ADD AUTHORITY","Me The People","","Image","Image Central","","IMA-0297"
"ADD SERIES","Me The People","Me The People","Image","Image Central","","IMS-0280"
"ADD AUTHORITY","Mechanism","","Image","Image Central","","IMA-0298"
"ADD SERIES","Mechanism","Mechanism","Image","Image Central","","IMS-0281"
"ADD SERIES","Spawn","Medieval Spawn","Image","Todd McFarlane Productions / Spawn Universe","","IMS-0282"
"ADD AUTHORITY","Memoirs of a Very Stable Genius","","Image","Image Central","","IMA-0299"
"ADD SERIES","Memoirs of a Very Stable Genius","Memoirs of a Very Stable Genius","Image","Image Central","","IMS-0283"
"ADD AUTHORITY","Men of Wrath","","Image","Image Central","","IMA-0300"
"ADD SERIES","Men of Wrath","Men of Wrath","Image","Image Central","","IMS-0284"
"ADD AUTHORITY","Metal Society","","Image","Top Cow Productions","","IMA-0301"
"ADD SERIES","Metal Society","Metal Society","Image","Top Cow Productions","","IMS-0285"
"ADD AUTHORITY","Middlewest","","Image","Image Central","","IMA-0302"
"REPAIR SERIES","Middlewest","Middlewest","Image","Image Central","","SER-01149"
"ADD AUTHORITY","Midnight Nation","","Image","Image Central","","IMA-0303"
"ADD SERIES","Midnight Nation","Midnight Nation","Image","Image Central","","IMS-0286"
"ADD AUTHORITY","Ministry of Space","","Image","Image Central","","IMA-0304"
"ADD SERIES","Ministry of Space","Ministry of Space","Image","Image Central","","IMS-0287"
"ADD AUTHORITY","Mirka Andolfo's Mercy","","Image","Image Central","","IMA-0305"
"ADD SERIES","Mirka Andolfo's Mercy","Mirka Andolfo's Mercy","Image","Image Central","","IMS-0288"
"ADD AUTHORITY","Mirka Andolfo's Sweet Paprika","","Image","Image Central","","IMA-0306"
"ADD SERIES","Mirka Andolfo's Sweet Paprika","Mirka Andolfo's Sweet Paprika","Image","Image Central","","IMS-0289"
"ADD AUTHORITY","Mirror","","Image","Image Central","","IMA-0307"
"ADD SERIES","Mirror","Mirror","Image","Image Central","","IMS-0290"
"ADD AUTHORITY","Misery","","Image","Image Central","","IMA-0308"
"ADD SERIES","Misery","Misery","Image","Image Central","","IMS-0291"
"ADD AUTHORITY","Monarch","","Image","Image Central","","IMA-0309"
"ADD SERIES","Monarch","Monarch","Image","Image Central","","IMS-0292"
"ADD AUTHORITY","Monkey Meat","","Image","Image Central","","IMA-0310"
"ADD SERIES","Monkey Meat","Monkey Meat","Image","Image Central","","IMS-0293"
"ADD SERIES","Monkey Meat","Monkey Meat The Summer Batch","Image","Image Central","","IMS-0294"
"REPAIR SERIES","Monstress","Monstress","Image","Image Central","","SER-00513"
"ADD AUTHORITY","Moon Man","","Image","Image Central","","IMA-0311"
"ADD SERIES","Moon Man","Moon Man","Image","Image Central","","IMS-0295"
"ADD AUTHORITY","Moonshine","","Image","Image Central","","IMA-0312"
"ADD SERIES","Moonshine","Moonshine","Image","Image Central","","IMS-0296"
"ADD AUTHORITY","Moonstruck","","Image","Image Central","","IMA-0313"
"ADD SERIES","Moonstruck","Moonstruck","Image","Image Central","","IMS-0297"
"ADD AUTHORITY","Morning Glories","","Image","Shadowline","","IMA-0314"
"REPAIR SERIES","Morning Glories","Morning Glories","Image","Shadowline","","SER-01150"
"ADD AUTHORITY","MPH","","Image","Millarworld","","IMA-0315"
"ADD SERIES","MPH","MPH","Image","Millarworld","","IMS-0298"
"ADD AUTHORITY","Mr. Lovenstein","","Image","Image Central","","IMA-0316"
"ADD SERIES","Mr. Lovenstein","Mr. Lovenstein","Image","Image Central","","IMS-0299"
"ADD AUTHORITY","Mudman","","Image","Image Central","","IMA-0317"
"ADD SERIES","Mudman","Mudman","Image","Image Central","","IMS-0300"
"ADD AUTHORITY","Murder Falcon","","Image","Skybound","","IMA-0318"
"REPAIR SERIES","Murder Falcon","Murder Falcon","Image","Skybound","","SER-01151"
"ADD AUTHORITY","Murder Me Dead","","Image","Image Central","","IMA-0319"
"ADD SERIES","Murder Me Dead","Murder Me Dead","Image","Image Central","","IMS-0301"
"ADD SERIES","Criminal","My Heroes Have Always Been Junkies","Image","Image Central","","IMS-0302"
"REPAIR SERIES","Nailbiter","Nailbiter","Image","Image Central","","SER-00524"
"ADD AUTHORITY","Nameless","","Image","Image Central","","IMA-0320"
