"action","authority","title","publisher","publishing_line","start_year","end_year"
"AUDIT AUTHORITY","Lady Death: A Medieval Tale","","CrossGen","CrossGen","",""
"AUDIT SERIES","Lady Death: A Medieval Tale","Lady Death: A Medieval Tale","CrossGen","CrossGen","2003","2004"
"AUDIT AUTHORITY","CrossGen Chronicles","","CrossGen","CrossGen","",""
"AUDIT SERIES","CrossGen Chronicles","CrossGen Chronicles","CrossGen","CrossGen","2000","2002"
"AUDIT SERIES","CrossGen Chronicles","CrossGenesis","CrossGen","CrossGen","2000","2000"
"AUDIT AUTHORITY","Mark of Charon","","CrossGen","CrossGen","",""
"AUDIT SERIES","Mark of Charon","Mark of Charon","CrossGen","CrossGen","2003","2003"
"AUDIT AUTHORITY","Saurians","","CrossGen","CrossGen","",""
"AUDIT SERIES","Saurians","Saurians: Unnatural Selection","CrossGen","CrossGen","2002","2002"
"AUDIT AUTHORITY","The Silken Ghost","","CrossGen","CrossGen","",""
"AUDIT SERIES","The Silken Ghost","The Silken Ghost","CrossGen","CrossGen","2003","2003"
"AUDIT AUTHORITY","Ectokid","","Marvel","Razorline","",""
"AUDIT SERIES","Ectokid","Ectokid","Marvel","Razorline","1993","1994"
"AUDIT AUTHORITY","Hokum & Hex","","Marvel","Razorline","",""
"AUDIT SERIES","Hokum & Hex","Hokum & Hex","Marvel","Razorline","1993","1994"
"AUDIT AUTHORITY","Hyperkind","","Marvel","Razorline","",""
"AUDIT SERIES","Hyperkind","Hyperkind","Marvel","Razorline","1993","1994"
"AUDIT AUTHORITY","Saint Sinner","","Marvel","Razorline","",""
"AUDIT SERIES","Saint Sinner","Saint Sinner","Marvel","Razorline","1993","1994"
"AUDIT AUTHORITY","Razorline","","Marvel","Razorline","",""
"AUDIT SERIES","Razorline","Razorline: First Cut","Marvel","Razorline","1993","1993"
"AUDIT AUTHORITY","Death's Head","","Marvel UK","Marvel UK","",""
"AUDIT SERIES","Death's Head","Death's Head","Marvel UK","Marvel UK","1988","1989"
"AUDIT SERIES","Death's Head","Death's Head II","Marvel UK","Marvel UK","1992","1994"
"AUDIT SERIES","Death's Head","Death's Head II & the Origin of Die-Cut","Marvel UK","Marvel UK","1993","1993"
"AUDIT AUTHORITY","Dragon's Claws","","Marvel UK","Marvel UK","",""
"AUDIT SERIES","Dragon's Claws","Dragon's Claws","Marvel UK","Marvel UK","1988","1989"
"AUDIT AUTHORITY","Knights of Pendragon","","Marvel UK","Marvel UK","",""
"AUDIT SERIES","Knights of Pendragon","Knights of Pendragon","Marvel UK","Marvel UK","1990","1991"
"AUDIT SERIES","Knights of Pendragon","Knights of Pendragon II","Marvel UK","Marvel UK","1992","1993"
"AUDIT AUTHORITY","Motormouth","","Marvel UK","Marvel UK","",""
"AUDIT SERIES","Motormouth","Motormouth","Marvel UK","Marvel UK","1992","1993"
"AUDIT SERIES","Motormouth","Motormouth & Killpower","Marvel UK","Marvel UK","1993","1993"
"AUDIT AUTHORITY","Dark Angel (Marvel UK)","","Marvel UK","Marvel UK","",""
"AUDIT SERIES","Dark Angel (Marvel UK)","Hell's Angel","Marvel UK","Marvel UK","1992","1992"
"AUDIT SERIES","Dark Angel (Marvel UK)","Dark Angel","Marvel UK","Marvel UK","1992","1993"
"AUDIT AUTHORITY","Warheads","","Marvel UK","Marvel UK","",""
"AUDIT SERIES","Warheads","Warheads","Marvel UK","Marvel UK","1992","1993"
"AUDIT AUTHORITY","Digitek","","Marvel UK","Marvel UK","",""
"AUDIT SERIES","Digitek","Digitek","Marvel UK","Marvel UK","1992","1993"
"AUDIT AUTHORITY","Plasmer","","Marvel UK","Marvel UK","",""
"AUDIT SERIES","Plasmer","Plasmer","Marvel UK","Marvel UK","1993","1994"
"AUDIT AUTHORITY","Mys-Tech","","Marvel UK","Marvel UK","",""
"AUDIT SERIES","Mys-Tech","Mys-Tech Wars","Marvel UK","Marvel UK","1993","1994"
"AUDIT AUTHORITY","Death Metal","","Marvel UK","Marvel UK","",""
"AUDIT SERIES","Death Metal","Death Metal","Marvel UK","Marvel UK","1994","1994"
"AUDIT SERIES","Death Metal","Death Metal vs. Genetix","Marvel UK","Marvel UK","1994","1994"
"AUDIT AUTHORITY","Genetix","","Marvel UK","Marvel UK","",""
"AUDIT SERIES","Genetix","Genetix","Marvel UK","Marvel UK","1993","1994"
"AUDIT AUTHORITY","Wild Thing","","Marvel UK","Marvel UK","",""
"AUDIT SERIES","Wild Thing","Wild Thing","Marvel UK","Marvel UK","1993","1994"
"AUDIT AUTHORITY","Overkill (Marvel UK)","","Marvel UK","Marvel UK","",""
"AUDIT SERIES","Overkill (Marvel UK)","Overkill","Marvel UK","Marvel UK","1992","1993"
"AUDIT AUTHORITY","Planet Terry","","Star","Star Comics","",""
"AUDIT SERIES","Planet Terry","Planet Terry","Star","Star Comics","1985","1986"
"AUDIT AUTHORITY","Top Dog","","Star","Star Comics","",""
"AUDIT SERIES","Top Dog","Top Dog","Star","Star Comics","1985","1987"
"AUDIT AUTHORITY","Royal Roy","","Star","Star Comics","",""
"AUDIT SERIES","Royal Roy","Royal Roy","Star","Star Comics","1985","1986"
"AUDIT AUTHORITY","Wally the Wizard","","Star","Star Comics","",""
"AUDIT SERIES","Wally the Wizard","Wally the Wizard","Star","Star Comics","1985","1986"
"AUDIT AUTHORITY","Peter Porker, the Spectacular Spider-Ham","","Star","Star Comics","",""
"AUDIT SERIES","Peter Porker, the Spectacular Spider-Ham","Peter Porker, the Spectacular Spider-Ham","Star","Star Comics","1985","1987"
"AUDIT AUTHORITY","Muppet Babies","","Star","Star Comics","",""
"AUDIT SERIES","Muppet Babies","Muppet Babies","Star","Star Comics","1985","1989"
"AUDIT AUTHORITY","Ewoks","","Star","Star Comics","",""
"AUDIT SERIES","Ewoks","Ewoks","Star","Star Comics","1985","1987"
"AUDIT AUTHORITY","Droids","","Star","Star Comics","",""
"AUDIT SERIES","Droids","Droids","Star","Star Comics","1986","1987"
"AUDIT AUTHORITY","Care Bears","","Star","Star Comics","",""
"AUDIT SERIES","Care Bears","Care Bears","Star","Star Comics","1985","1989"
"AUDIT AUTHORITY","Fraggle Rock","","Star","Star Comics","",""
"AUDIT SERIES","Fraggle Rock","Fraggle Rock","Star","Star Comics","1985","1986"
"AUDIT AUTHORITY","Heathcliff","","Star","Star Comics","",""
"AUDIT SERIES","Heathcliff","Heathcliff","Star","Star Comics","1985","1988"
"AUDIT AUTHORITY","Madballs","","Star","Star Comics","",""
"AUDIT SERIES","Madballs","Madballs","Star","Star Comics","1986","1988"
"AUDIT AUTHORITY","Count Duckula","","Star","Star Comics","",""
"AUDIT SERIES","Count Duckula","Count Duckula","Star","Star Comics","1988","1990"
"AUDIT AUTHORITY","Defenders of the Earth","","Star","Star Comics","",""
"AUDIT SERIES","Defenders of the Earth","Defenders of the Earth","Star","Star Comics","1987","1987"
"AUDIT AUTHORITY","Inhumanoids","","Star","Star Comics","",""
"AUDIT SERIES","Inhumanoids","Inhumanoids","Star","Star Comics","1987","1987"
"AUDIT AUTHORITY","Popples","","Star","Star Comics","",""
"AUDIT SERIES","Popples","Popples","Star","Star Comics","1986","1987"
"AUDIT AUTHORITY","SilverHawks","","Star","Star Comics","",""
"AUDIT SERIES","SilverHawks","SilverHawks","Star","Star Comics","1987","1987"
"AUDIT AUTHORITY","Thundercats","","Star","Star Comics","",""
"AUDIT SERIES","Thundercats","Thundercats","Star","Star Comics","1985","1988"
"AUDIT AUTHORITY","ALF","","Marvel","Star Comics","",""
"AUDIT SERIES","ALF","ALF","Marvel","Star Comics","1988","1992"
"AUDIT AUTHORITY","Chuck Norris and the Karate Kommandos","","Star","Star Comics","",""
"AUDIT SERIES","Chuck Norris and the Karate Kommandos","Chuck Norris and the Karate Kommandos","Star","Star Comics","1987","1987"
"AUDIT AUTHORITY","The Flintstone Kids","","Star","Star Comics","",""
"AUDIT SERIES","The Flintstone Kids","The Flintstone Kids","Star","Star Comics","1987","1989"
"AUDIT AUTHORITY","The Get Along Gang","","Star","Star Comics","",""
"AUDIT SERIES","The Get Along Gang","The Get Along Gang","Star","Star Comics","1985","1986"
"AUDIT AUTHORITY","2001: A Space Odyssey","","Marvel","Licensed","",""
"AUDIT SERIES","2001: A Space Odyssey","2001: A Space Odyssey","Marvel","Licensed","1976","1977"
"AUDIT AUTHORITY","Battlestar Galactica","","Marvel","Licensed","",""
"AUDIT SERIES","Battlestar Galactica","Battlestar Galactica","Marvel","Licensed","1979","1981"
"AUDIT AUTHORITY","The Dark Crystal","","Marvel","Licensed","",""
"AUDIT SERIES","The Dark Crystal","The Dark Crystal","Marvel","Licensed","1983","1983"
"AUDIT AUTHORITY","Dune","","Marvel","Licensed","",""
"AUDIT SERIES","Dune","Dune","Marvel","Licensed","1985","1985"
"AUDIT AUTHORITY","Labyrinth","","Marvel","Licensed","",""
"AUDIT SERIES","Labyrinth","Labyrinth","Marvel","Licensed","1986","1986"
"AUDIT AUTHORITY","Masters of the Universe","","Marvel","Licensed","",""
"AUDIT SERIES","Masters of the Universe","Masters of the Universe","Marvel","Licensed","1986","1988"
"AUDIT AUTHORITY","Planet of the Apes","","Marvel","Licensed","",""
"AUDIT SERIES","Planet of the Apes","Planet of the Apes","Marvel","Licensed","1975","1976"
"AUDIT SERIES","Planet of the Apes","Adventures on the Planet of the Apes","Marvel","Licensed","1975","1976"
"AUDIT AUTHORITY","Red Sonja","","Marvel","Licensed","",""
"AUDIT SERIES","Red Sonja","Red Sonja","Marvel","Licensed","1977","1979"
"AUDIT SERIES","Red Sonja","The Savage Sword of Conan","Marvel","Licensed","1975","1986"
"AUDIT AUTHORITY","NFL SuperPro","","Marvel","Licensed","",""
"AUDIT SERIES","NFL SuperPro","NFL SuperPro","Marvel","Licensed","1991","1992"
"AUDIT AUTHORITY","Nightcat","","Marvel","Licensed","",""
"AUDIT SERIES","Nightcat","Nightcat","Marvel","Licensed","1991","1991"
