Era,Series Title,Parent Authority,Result,Authority ID
Infinite Frontier,Danger Street,DC Universe,Added,SER-01696
Infinite Frontier,Rogues,DC Universe,Added,SER-01697
Infinite Frontier,The Nice House on the Lake,DC Universe,Already present,
Infinite Frontier,Crush & Lobo,DC Universe,Added,SER-01698
Infinite Frontier,Mister Miracle: The Source of Freedom,DC Universe,Added,SER-01699
Infinite Frontier,One-Star Squadron,DC Universe,Added,SER-01700
Infinite Frontier,The Vigil,DC Universe,Added,SER-01701
Infinite Frontier,Sword of Azrael,DC Universe,Added,SER-01702
Infinite Frontier,Hardware: Season One,DC Universe,Added,SER-01703
Infinite Frontier,Icon & Rocket: Season One,Icon and Rocket,Already present,
Infinite Frontier,Static: Season One,Static,Added,SER-01704
Infinite Frontier,Duo,DC Universe,Added,SER-01705
Infinite Frontier,Blood Syndicate: Season One,DC Universe,Added,SER-01706
Infinite Frontier,Static: Shadows of Dakota,Static,Already present,
Infinite Frontier,Icon vs. Hardware,DC Universe,Added,SER-01707
Infinite Frontier,Batman: The Audio Adventures,DC Universe,Added,SER-01708
Infinite Frontier,Batman: The Adventures Continue Season Two,DC Universe,Added,SER-01709
Infinite Frontier,Batman '89,DC Universe,Added,SER-01710
Infinite Frontier,The Batman & Scooby-Doo Mysteries,DC Universe,Added,SER-01711
Infinite Frontier,Batman/Fortnite: Zero Point,DC Universe,Added,SER-01712
Infinite Frontier,Batman/Fortnite: Foundation,DC Universe,Added,SER-01713
Infinite Frontier,Batman: Wayne Family Adventures,DC Universe,Added,SER-01714
Infinite Frontier,Dark Crisis: Young Justice,DC Universe,Added,SER-01715
Infinite Frontier,Dark Crisis: Worlds Without a Justice League – Batman,DC Universe,Added,SER-01716
Infinite Frontier,Dark Crisis: Worlds Without a Justice League – Green Arrow,DC Universe,Added,SER-01717
Infinite Frontier,Dark Crisis: Worlds Without a Justice League – Green Lantern,DC Universe,Added,SER-01718
Infinite Frontier,Dark Crisis: Worlds Without a Justice League – Superman,DC Universe,Added,SER-01719
Infinite Frontier,Dark Crisis: Worlds Without a Justice League – Wonder Woman,DC Universe,Added,SER-01720
Infinite Frontier,Dark Crisis: The Deadly Green,DC Universe,Added,SER-01721
Infinite Frontier,Dark Crisis: The Dark Army,DC Universe,Added,SER-01722
Infinite Frontier,Dark Crisis: War Zone,DC Universe,Added,SER-01723
Infinite Frontier,Lazarus Planet: Alpha,DC Universe,Added,SER-01724
Infinite Frontier,Lazarus Planet: Omega,DC Universe,Added,SER-01725
Infinite Frontier,Lazarus Planet: Assault on Krypton,DC Universe,Added,SER-01726
Infinite Frontier,Lazarus Planet: Dark Fate,DC Universe,Added,SER-01727
Infinite Frontier,Lazarus Planet: Legends Reborn,DC Universe,Added,SER-01728
Infinite Frontier,Lazarus Planet: Next Evolution,DC Universe,Added,SER-01729
Infinite Frontier,Lazarus Planet: We Once Were Gods,DC Universe,Added,SER-01730
Dawn of DC,Superman,Superman,Already present,
Dawn of DC,Adventures of Superman: Jon Kent,Superman,Added,SER-01731
Dawn of DC,Steelworks,Superman,Added,SER-01732
Dawn of DC,Superboy: The Man of Tomorrow,Superman,Added,SER-01733
Dawn of DC,Power Girl,Superman,Already present,
Dawn of DC,Fire & Ice: Welcome to Smallville,Superman,Added,SER-01734
Dawn of DC,Wonder Woman,Wonder Woman,Already present,
Dawn of DC,Amazons Attack,Wonder Woman,Added,SER-01735
Dawn of DC,Wonder Woman: Outlaw Edition,Wonder Woman,Added,SER-01736
Dawn of DC,Sinister Sons,Green Lantern,Added,SER-01737
Dawn of DC,Green Arrow,Green Arrow,Already present,
Dawn of DC,Hawkgirl,Hawkgirl,Added,SER-01738
Dawn of DC,Birds of Prey,Birds of Prey,Already present,
Dawn of DC,Tales of the Titans,Robin / Teen Titans,Added,SER-01739
Dawn of DC,Outsiders,The Outsiders,Already present,
Dawn of DC,The Brave and the Bold,Batman,Already present,
Dawn of DC,Batman: Gargoyle of Gotham,Batman,Already present,
Dawn of DC,Batman: Off-World,Batman,Already present,
Dawn of DC,Batman: City of Madness,Batman,Added,SER-01740
Dawn of DC,Batman: The Adventures Continue Season Three,Batman,Added,SER-01741
Dawn of DC,The Penguin,Batman,Added,SER-01742
Dawn of DC,Gotham City: Year One,Batman,Added,SER-01743
Dawn of DC,Gotham War,Batman,Added,SER-01744
Dawn of DC,Batman/Catwoman: The Gotham War – Battle Lines,Batman,Added,SER-01745
Dawn of DC,Batman/Catwoman: The Gotham War – Scorched Earth,Batman,Added,SER-01746
Dawn of DC,Batman/Catwoman: The Gotham War: Red Hood,Batman,Added,SER-01747
Dawn of DC,The Riddler: Year One,Batman,Added,SER-01748
Dawn of DC,Joker: The Man Who Stopped Laughing,Batman,Added,SER-01749
Dawn of DC,Peacemaker Tries Hard!,Peacemaker,Added,SER-01750
Dawn of DC,Unstoppable Doom Patrol,Doom Patrol,Added,SER-01751
Dawn of DC,Spirit World,DC Universe,Added,SER-01752
Dawn of DC,City Boy,DC Universe,Added,SER-01753
Dawn of DC,Knight Terrors,DC Universe,Added,SER-01754
Dawn of DC,Knight Terrors: First Blood,DC Universe,Added,SER-01755
Dawn of DC,Knight Terrors: Night's End,DC Universe,Added,SER-01756
Dawn of DC,Knight Terrors: Action Comics,DC Universe,Added,SER-01757
Dawn of DC,Knight Terrors: Angel Breaker,DC Universe,Added,SER-01758
Dawn of DC,Knight Terrors: Batman,DC Universe,Added,SER-01759
Dawn of DC,Knight Terrors: Black Adam,DC Universe,Added,SER-01760
Dawn of DC,Knight Terrors: Catwoman,DC Universe,Added,SER-01761
Dawn of DC,Knight Terrors: Detective Comics,DC Universe,Added,SER-01762
Dawn of DC,Knight Terrors: Green Lantern,DC Universe,Added,SER-01763
Dawn of DC,Knight Terrors: Harley Quinn,DC Universe,Added,SER-01764
Dawn of DC,Knight Terrors: Nightwing,DC Universe,Added,SER-01765
Dawn of DC,Knight Terrors: Poison Ivy,DC Universe,Added,SER-01766
Dawn of DC,Knight Terrors: Punchline,DC Universe,Added,SER-01767
Dawn of DC,Knight Terrors: Ravager,DC Universe,Added,SER-01768
Dawn of DC,Knight Terrors: Robin,DC Universe,Added,SER-01769
Dawn of DC,Knight Terrors: Shazam!,DC Universe,Added,SER-01770
Dawn of DC,Knight Terrors: Superman,DC Universe,Added,SER-01771
Dawn of DC,Knight Terrors: The Flash,DC Universe,Added,SER-01772
Dawn of DC,Knight Terrors: The Joker,DC Universe,Added,SER-01773
Dawn of DC,Knight Terrors: Titans,DC Universe,Added,SER-01774
Dawn of DC,Knight Terrors: Wonder Woman,DC Universe,Added,SER-01775
Dawn of DC,Knight Terrors: Zatanna,DC Universe,Added,SER-01776
Dawn of DC,Titans: Beast World,Robin / Teen Titans,Already present,
Dawn of DC,Titans: Beast World: Waller Rising,Robin / Teen Titans,Added,SER-01777
Dawn of DC,Titans: Beast World Tour: Atlantis,Robin / Teen Titans,Added,SER-01778
Dawn of DC,Titans: Beast World Tour: Central City,Robin / Teen Titans,Added,SER-01779
Dawn of DC,Titans: Beast World Tour: Gotham,Robin / Teen Titans,Added,SER-01780
Dawn of DC,Titans: Beast World Tour: Metropolis,Robin / Teen Titans,Added,SER-01781
Dawn of DC,Titans: Beast World Tour: Star City,Robin / Teen Titans,Added,SER-01782
Dawn of DC,Superman: House of Brainiac Special,Superman,Added,SER-01783
Dawn of DC,Suicide Squad: Dream Team,DC Universe,Added,SER-01784
Dawn of DC,Absolute Power,DC Universe,Added,SER-01785
Dawn of DC,Absolute Power: Ground Zero,DC Universe,Added,SER-01786
Dawn of DC,Absolute Power: Origins,DC Universe,Added,SER-01787
Dawn of DC,Absolute Power: Super Son,DC Universe,Added,SER-01788
Dawn of DC,Absolute Power: Task Force VII,DC Universe,Added,SER-01789
Dawn of DC,Waller vs. Wildstorm,DC Universe,Added,SER-01790
Dawn of DC,The Sandman Universe: Nightmare Country,DC Universe,Added,SER-01791
Dawn of DC,The Sandman Universe: Nightmare Country – The Glass House,DC Universe,Added,SER-01792
Dawn of DC,Wesley Dodds: The Sandman,DC Universe,Added,SER-01793
Dawn of DC,Jay Garrick: The Flash,DC Universe,Added,SER-01794
Dawn of DC,Alan Scott: The Green Lantern,DC Universe,Added,SER-01795
Dawn of DC,Speed Force,DC Universe,Added,SER-01796
Dawn of DC,The Flash: One-Minute War Special,DC Universe,Added,SER-01797
Dawn of DC,Batman/Santa Claus: Silent Knight,DC Universe,Added,SER-01798
Dawn of DC,Batman/Santa Claus: Silent Knight Returns,DC Universe,Added,SER-01799
Dawn of DC,Batman/Dylan Dog,DC Universe,Added,SER-01800
Dawn of DC,Justice League vs. Godzilla vs. Kong,DC Universe,Added,SER-01801
Dawn of DC,Justice League vs. Godzilla vs. Kong 2,DC Universe,Added,SER-01802
Dawn of DC,Kneel Before Zod,DC Universe,Added,SER-01803
Dawn of DC,The Boy Wonder,DC Universe,Added,SER-01804
Dawn of DC,"John Constantine, Hellblazer: Dead in America",DC Universe,Added,SER-01805
Dawn of DC,The Nice House by the Sea,DC Universe,Already present,
Dawn of DC,Plastic Man No More!,DC Universe,Added,SER-01806
DC All In,DC All In Special,DC Universe,Added,SER-01807
DC All In,Justice League Unlimited,Justice League,Added,SER-01808
DC All In,JSA,Justice Society of America,Already present,
DC All In,Batman,Batman,Already present,
DC All In,Batgirl,Batman,Already present,
DC All In,Batwoman,Batman,Already present,
DC All In,Batman and Robin: Year One,Batman,Added,SER-01809
DC All In,Batman: Dark Patterns,Batman,Added,SER-01810
DC All In,Batman: Full Moon,Batman,Added,SER-01811
DC All In,Batman: The Long Halloween – The Last Halloween,Batman,Added,SER-01812
DC All In,Batman: Resurrection,Batman,Added,SER-01813
DC All In,Batman: The Last Halloween,Batman,Added,SER-01814
DC All In,Batman '89: Echoes,Batman,Added,SER-01815
DC All In,From the DC Vault: Death in the Family: Robin Lives!,Batman,Added,SER-01816
DC All In,Gotham by Gaslight: The Kryptonian Age,Batman,Added,SER-01817
DC All In,Two-Face,Batman,Added,SER-01818
DC All In,The Question: All Along the Watchtower,Batman,Added,SER-01819
DC All In,Catwoman,Catwoman,Already present,
DC All In,Deathstroke the Terminator,Deathstroke,Already present,
DC All In,Superman Unlimited,Superman,Added,SER-01820
DC All In,Supergirl,Superman,Already present,
DC All In,Supergirl: Woman of Tomorrow,Superman,Added,SER-01821
DC All In,Supergirl: Survive,Superman,Added,SER-01822
DC All In,Superman: Father of Tomorrow,Superman,Added,SER-01823
DC All In,Adventures of Superman: Book of El,Superman,Added,SER-01824
DC All In,Krypto: The Last Dog of Krypton,Superman,Added,SER-01825
DC All In,Trinity: Daughter of Wonder Woman,Wonder Woman,Added,SER-01826
DC All In,Green Lantern Dark,Green Lantern,Added,SER-01827
DC All In,Aquaman,Aquaman,Already present,
DC All In,Emperor Aquaman,Aquaman,Added,SER-01828
DC All In,Metamorpho: The Element Man,Metamorpho,Added,SER-01829
DC All In,Zatanna,Zatanna,Already present,
DC All In,Zatanna: Bring Down the House,Zatanna,Added,SER-01830
DC All In,Black Canary: Best of the Best,Black Canary,Added,SER-01831
DC All In,The Fury of Firestorm,Firestorm,Already present,
DC All In,Challengers of the Unknown,DC Universe,Already present,
DC All In,The New Gods,DC Universe,Already present,
DC All In,The Power Company: Recharged,DC Universe,Added,SER-01832
DC All In,The Deadman,DC Universe,Added,SER-01833
DC All In,Clayface: Celebrity Dirt,DC Universe,Added,SER-01834
DC All In,Bizarro: Year None,DC Universe,Added,SER-01835
DC All In,Gotham Academy: First Year,DC Universe,Added,SER-01836
DC All In,Dark Knights of Steel II,DC Universe,Added,SER-01837
DC All In,Barbara Gordon: Breakout,Batgirl,Added,SER-01838
DC All In,New Titans,Robin / Teen Titans,Added,SER-01839
DC All In,DC Horror Presents,DC Universe,Added,SER-01840
DC All In,DC Horror Presents: Creature Commandos,DC Universe,Added,SER-01841
DC All In,DC vs. Vampires: World War V,DC Universe,Added,SER-01842
DC All In,DC K.O.,DC Universe,Added,SER-01843
DC All In,DC K.O.: Knightfight,DC Universe,Added,SER-01844
DC All In,DC K.O.: Superman vs. Captain Atom,DC Universe,Added,SER-01845
DC All In,DC K.O.: Red Hood vs. Joker,DC Universe,Added,SER-01846
DC All In,DC K.O.: Harley Quinn vs. Zatanna,DC Universe,Added,SER-01847
DC All In,The New History of the DC Universe,DC Universe,Added,SER-01848
DC All In,Resurrection Man: Quantum Karma,DC Universe,Added,SER-01849
DC All In,Mr. Terrific: Year One,DC Universe,Added,SER-01850
DC All In,Immortal Legend Batman,DC Universe,Added,SER-01851
DC All In,Batman: Gotham by Gaslight – A League for Justice,DC Universe,Added,SER-01852
DC All In,Batman/Green Arrow/The Question: Arcadia,DC Universe,Added,SER-01853
DC All In,Cheetah and Cheshire Rob the Justice League,DC Universe,Added,SER-01854
DC All In,Red Hood,DC Universe,Added,SER-01855
DC All In,Harley and Ivy: Life and Crimes,DC Universe,Added,SER-01856
Absolute Universe,Absolute Batman,Absolute Universe (2024 relaunch),Already present,
Absolute Universe,Absolute Superman,Absolute Universe (2024 relaunch),Already present,
Absolute Universe,Absolute Wonder Woman,Absolute Universe (2024 relaunch),Already present,
Absolute Universe,Absolute Flash,Absolute Universe (2024 relaunch),Added,SER-01857
Absolute Universe,Absolute Green Lantern,Absolute Universe (2024 relaunch),Added,SER-01858
Absolute Universe,Absolute Martian Manhunter,Absolute Universe (2024 relaunch),Added,SER-01859
Absolute Universe,Absolute Evil,Absolute Universe (2024 relaunch),Added,SER-01860
Absolute Universe,Absolute Catwoman,Absolute Universe (2024 relaunch),Added,SER-01861
Absolute Universe,Absolute Green Arrow,Absolute Universe (2024 relaunch),Added,SER-01862
Current / Vertigo,100 Bullets: The US of Anger,100 Bullets,Added,SER-01863
Current / Vertigo,Bleeding Hearts,Vertigo / Black Label,Added,SER-01864
Current / Vertigo,End of Life,Vertigo / Black Label,Added,SER-01865
Current / Licensed,DC x Sonic the Hedgehog,DC Universe,Added,SER-01866
Current / Licensed,DC x Sonic the Hedgehog: The Metal Legion,DC Universe,Added,SER-01867
