"action","authority","title","publisher","publishing_line","start_year","end_year"
"AUDIT SERIES","Hero Zero","Hero Zero","Dark Horse","Comics' Greatest World","1994","1994"
"AUDIT AUTHORITY","Motorhead","","Dark Horse","Comics' Greatest World","",""
"AUDIT SERIES","Motorhead","Motorhead Special","Dark Horse","Comics' Greatest World","1994","1994"
"AUDIT SERIES","Motorhead","Motorhead","Dark Horse","Comics' Greatest World","1995","1996"
"AUDIT SERIES","Motorhead","King Tiger & Motorhead","Dark Horse","Comics' Greatest World","1996","1996"
"AUDIT AUTHORITY","Out of the Vortex","","Dark Horse","Comics' Greatest World","",""
"AUDIT SERIES","Out of the Vortex","Out of the Vortex","Dark Horse","Comics' Greatest World","1993","1994"
"AUDIT AUTHORITY","The Machine","","Dark Horse","Comics' Greatest World","",""
"AUDIT SERIES","The Machine","The Machine","Dark Horse","Comics' Greatest World","1994","1995"
"AUDIT AUTHORITY","Brain Boy","","Dark Horse","Project Black Sky","",""
"AUDIT SERIES","Brain Boy","Brain Boy","Dark Horse","Project Black Sky","2013","2013"
"AUDIT SERIES","Brain Boy","Brain Boy: The Men from G.E.S.T.A.L.T.","Dark Horse","Project Black Sky","2014","2014"
"AUDIT AUTHORITY","Captain Midnight","","Dark Horse","Project Black Sky","",""
"AUDIT SERIES","Captain Midnight","Captain Midnight","Dark Horse","Project Black Sky","2013","2015"
"AUDIT AUTHORITY","The Occultist","","Dark Horse","Project Black Sky","",""
"AUDIT SERIES","The Occultist","The Occultist","Dark Horse","Project Black Sky","2010","2010"
"AUDIT SERIES","The Occultist","The Occultist","Dark Horse","Project Black Sky","2011","2012"
"AUDIT SERIES","The Occultist","The Occultist","Dark Horse","Project Black Sky","2013","2014"
"AUDIT AUTHORITY","Skyman","","Dark Horse","Project Black Sky","",""
"AUDIT SERIES","Skyman","Skyman","Dark Horse","Project Black Sky","2014","2014"
"AUDIT AUTHORITY","Blackout","","Dark Horse","Project Black Sky","",""
"AUDIT SERIES","Blackout","Blackout","Dark Horse","Project Black Sky","2014","2014"
"AUDIT AUTHORITY","Babe","","Dark Horse","Legend","",""
"AUDIT SERIES","Babe","Babe","Dark Horse","Legend","1994","1994"
"AUDIT SERIES","Babe","Babe 2","Dark Horse","Legend","1995","1995"
"AUDIT AUTHORITY","Big Guy and Rusty the Boy Robot","","Dark Horse","Legend","",""
"AUDIT SERIES","Big Guy and Rusty the Boy Robot","Big Guy and Rusty the Boy Robot","Dark Horse","Legend","1995","1995"
"AUDIT AUTHORITY","Danger Unlimited","","Dark Horse","Legend","",""
"AUDIT SERIES","Danger Unlimited","Danger Unlimited","Dark Horse","Legend","1994","1994"
"AUDIT AUTHORITY","Madman","","Dark Horse","Legend / Maverick","",""
"AUDIT SERIES","Madman","Madman Comics","Dark Horse","Legend / Maverick","1994","2000"
"AUDIT AUTHORITY","Martha Washington","","Dark Horse","Legend","",""
"AUDIT SERIES","Martha Washington","Give Me Liberty","Dark Horse","Legend","1990","1991"
"AUDIT SERIES","Martha Washington","Martha Washington Goes to War","Dark Horse","Legend","1994","1994"
"AUDIT SERIES","Martha Washington","Martha Washington Stranded in Space","Dark Horse","Legend","1995","1995"
"AUDIT SERIES","Martha Washington","Martha Washington Saves the World","Dark Horse","Legend","1997","1998"
"AUDIT SERIES","Martha Washington","Martha Washington Dies","Dark Horse","Legend","2007","2007"
"AUDIT AUTHORITY","Monkeyman and O’Brien","","Dark Horse","Legend","",""
"AUDIT SERIES","Monkeyman and O’Brien","Monkeyman and O’Brien","Dark Horse","Legend","1996","1996"
"AUDIT AUTHORITY","Next Men","","Dark Horse","Legend","",""
"AUDIT SERIES","Next Men","John Byrne’s 2112","Dark Horse","Legend","1991","1991"
"AUDIT SERIES","Next Men","John Byrne’s Next Men","Dark Horse","Legend","1992","1994"
"AUDIT AUTHORITY","Star Slammers","","Dark Horse","Legend","",""
"AUDIT SERIES","Star Slammers","Star Slammers Special","Dark Horse","Legend","1996","1996"
"AUDIT AUTHORITY","Air","","Dark Horse","Berger Books","",""
"AUDIT SERIES","Air","Air","Dark Horse","Berger Books","2018","2019"
"AUDIT AUTHORITY","Everything","","Dark Horse","Berger Books","",""
"AUDIT SERIES","Everything","Everything","Dark Horse","Berger Books","2019","2020"
"AUDIT AUTHORITY","The Seeds","","Dark Horse","Berger Books","",""
"AUDIT SERIES","The Seeds","The Seeds","Dark Horse","Berger Books","2018","2021"
"AUDIT AUTHORITY","Hungry Ghosts","","Dark Horse","Berger Books","",""
"AUDIT SERIES","Hungry Ghosts","Hungry Ghosts","Dark Horse","Berger Books","2018","2018"
"AUDIT AUTHORITY","Incognegro","","Dark Horse","Berger Books","",""
"AUDIT SERIES","Incognegro","Incognegro: Renaissance","Dark Horse","Berger Books","2018","2018"
"AUDIT AUTHORITY","Invisible Kingdom","","Dark Horse","Berger Books","",""
"AUDIT SERIES","Invisible Kingdom","Invisible Kingdom","Dark Horse","Berger Books","2019","2020"
"AUDIT AUTHORITY","LaGuardia","","Dark Horse","Berger Books","",""
"AUDIT SERIES","LaGuardia","LaGuardia","Dark Horse","Berger Books","2018","2019"
"AUDIT AUTHORITY","Mata Hari","","Dark Horse","Berger Books","",""
"AUDIT SERIES","Mata Hari","Mata Hari","Dark Horse","Berger Books","2018","2018"
"AUDIT AUTHORITY","Ruby Falls","","Dark Horse","Berger Books","",""
"AUDIT SERIES","Ruby Falls","Ruby Falls","Dark Horse","Berger Books","2019","2020"
"AUDIT AUTHORITY","Salamandre","","Dark Horse","Berger Books","",""
"AUDIT SERIES","Salamandre","Salamandre","Dark Horse","Berger Books","2022","2022"
"AUDIT AUTHORITY","She Could Fly","","Dark Horse","Berger Books","",""
"AUDIT SERIES","She Could Fly","She Could Fly","Dark Horse","Berger Books","2018","2018"
"AUDIT SERIES","She Could Fly","She Could Fly: The Lost Pilot","Dark Horse","Berger Books","2019","2019"
"AUDIT SERIES","She Could Fly","She Could Fly: Fight or Flight","Dark Horse","Berger Books","2020","2020"
"AUDIT AUTHORITY","3×3 Eyes","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","3×3 Eyes","3×3 Eyes: Curse of the Gesu","Dark Horse","Dark Horse Manga","1995","1996"
"AUDIT AUTHORITY","Astro Boy","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","Astro Boy","Astro Boy","Dark Horse","Dark Horse Manga","2002","2004"
"AUDIT AUTHORITY","Berserk","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","Berserk","Berserk","Dark Horse","Dark Horse Manga","2003","2026"
"AUDIT AUTHORITY","Blade of the Immortal","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","Blade of the Immortal","Blade of the Immortal","Dark Horse","Dark Horse Manga","1996","2007"
"AUDIT AUTHORITY","Blood+","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","Blood+","Blood+","Dark Horse","Dark Horse Manga","2008","2009"
"AUDIT SERIES","Blood+","Blood-C","Dark Horse","Dark Horse Manga","2012","2015"
"AUDIT AUTHORITY","Cardcaptor Sakura","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","Cardcaptor Sakura","Cardcaptor Sakura","Dark Horse","Dark Horse Manga","2010","2012"
"AUDIT AUTHORITY","Crying Freeman","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","Crying Freeman","Crying Freeman","Dark Horse","Dark Horse Manga","2006","2007"
"AUDIT AUTHORITY","Danganronpa","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","Danganronpa","Danganronpa: The Animation","Dark Horse","Dark Horse Manga","2016","2017"
"AUDIT SERIES","Danganronpa","Danganronpa 2: Ultimate Luck and Hope and Despair","Dark Horse","Dark Horse Manga","2018","2020"
"AUDIT AUTHORITY","Drifters","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","Drifters","Drifters","Dark Horse","Dark Horse Manga","2011","2026"
"AUDIT AUTHORITY","Eden: It’s an Endless World!","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","Eden: It’s an Endless World!","Eden: It’s an Endless World!","Dark Horse","Dark Horse Manga","2005","2016"
"AUDIT AUTHORITY","Elfen Lied","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","Elfen Lied","Elfen Lied","Dark Horse","Dark Horse Manga","2019","2020"
"AUDIT AUTHORITY","Gantz","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","Gantz","Gantz","Dark Horse","Dark Horse Manga","2008","2015"
"AUDIT SERIES","Gantz","Gantz G","Dark Horse","Dark Horse Manga","2018","2019"
"AUDIT AUTHORITY","Hellsing","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","Hellsing","Hellsing","Dark Horse","Dark Horse Manga","2003","2009"
"AUDIT AUTHORITY","Keep Your Hands Off Eizouken!","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","Keep Your Hands Off Eizouken!","Keep Your Hands Off Eizouken!","Dark Horse","Dark Horse Manga","2020","2026"
"AUDIT AUTHORITY","The Kurosagi Corpse Delivery Service","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","The Kurosagi Corpse Delivery Service","The Kurosagi Corpse Delivery Service","Dark Horse","Dark Horse Manga","2006","2026"
"AUDIT AUTHORITY","Lone Wolf and Cub","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","Lone Wolf and Cub","Lone Wolf and Cub","Dark Horse","Dark Horse Manga","2000","2002"
"AUDIT SERIES","Lone Wolf and Cub","New Lone Wolf and Cub","Dark Horse","Dark Horse Manga","2014","2016"
"AUDIT AUTHORITY","Mob Psycho 100","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","Mob Psycho 100","Mob Psycho 100","Dark Horse","Dark Horse Manga","2018","2026"
"AUDIT AUTHORITY","MPD Psycho","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","MPD Psycho","MPD Psycho","Dark Horse","Dark Horse Manga","2007","2016"
"AUDIT AUTHORITY","Oh My Goddess!","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","Oh My Goddess!","Oh My Goddess!","Dark Horse","Dark Horse Manga","1994","2015"
"AUDIT AUTHORITY","Path of the Assassin","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","Path of the Assassin","Path of the Assassin","Dark Horse","Dark Horse Manga","2006","2008"
"AUDIT AUTHORITY","Planetes","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","Planetes","Planetes","Dark Horse","Dark Horse Manga","2003","2005"
"AUDIT AUTHORITY","Samurai Executioner","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","Samurai Executioner","Samurai Executioner","Dark Horse","Dark Horse Manga","2004","2006"
"AUDIT AUTHORITY","Seraphim: 266613336 Wings","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","Seraphim: 266613336 Wings","Seraphim: 266613336 Wings","Dark Horse","Dark Horse Manga","2015","2015"
"AUDIT AUTHORITY","Trigun","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","Trigun","Trigun","Dark Horse","Dark Horse Manga","2003","2004"
"AUDIT SERIES","Trigun","Trigun Maximum","Dark Horse","Dark Horse Manga","2004","2009"
"AUDIT AUTHORITY","Vampire Hunter D","","Dark Horse","Dark Horse Manga","",""
"AUDIT SERIES","Vampire Hunter D","Vampire Hunter D","Dark Horse","Dark Horse Manga","2007","2014"
"AUDIT AUTHORITY","Alien","","Dark Horse","Licensed","",""
"AUDIT SERIES","Alien","Aliens","Dark Horse","Licensed","1988","2009"
"AUDIT SERIES","Alien","Alien 3","Dark Horse","Licensed","1992","1992"
"AUDIT SERIES","Alien","Alien Resurrection","Dark Horse","Licensed","1997","1997"
"AUDIT SERIES","Alien","Aliens: Colonial Marines","Dark Horse","Licensed","1993","1994"
"AUDIT SERIES","Alien","Aliens: Earth War","Dark Horse","Licensed","1990","1990"
"AUDIT SERIES","Alien","Aliens: Genocide","Dark Horse","Licensed","1991","1992"
"AUDIT SERIES","Alien","Aliens: Hive","Dark Horse","Licensed","1992","1992"
"AUDIT SERIES","Alien","Aliens: Labyrinth","Dark Horse","Licensed","1993","1994"
"AUDIT SERIES","Alien","Aliens: Fire and Stone","Dark Horse","Licensed","2014","2015"
"AUDIT SERIES","Alien","Aliens: Defiance","Dark Horse","Licensed","2016","2017"
"AUDIT SERIES","Alien","Aliens: Dead Orbit","Dark Horse","Licensed","2017","2017"
"AUDIT AUTHORITY","Predator","","Dark Horse","Licensed","",""
"AUDIT SERIES","Predator","Predator","Dark Horse","Licensed","1989","1990"
"AUDIT SERIES","Predator","Predator: Big Game","Dark Horse","Licensed","1991","1991"
"AUDIT SERIES","Predator","Predator: Cold War","Dark Horse","Licensed","1991","1991"
"AUDIT SERIES","Predator","Predator: Bad Blood","Dark Horse","Licensed","1993","1994"
"AUDIT SERIES","Predator","Predator: Concrete Jungle","Dark Horse","Licensed","1989","1990"
"AUDIT SERIES","Predator","Predator: Fire and Stone","Dark Horse","Licensed","2014","2015"
"AUDIT SERIES","Predator","Predator: Hunters","Dark Horse","Licensed","2017","2018"
"AUDIT AUTHORITY","Alien vs. Predator","","Dark Horse","Licensed","",""
"AUDIT SERIES","Alien vs. Predator","Aliens vs. Predator","Dark Horse","Licensed","1990","1991"
"AUDIT SERIES","Alien vs. Predator","Aliens vs. Predator: War","Dark Horse","Licensed","1995","1996"
"AUDIT SERIES","Alien vs. Predator","Alien vs. Predator: Thrill of the Hunt","Dark Horse","Licensed","2004","2004"
"AUDIT SERIES","Alien vs. Predator","Alien vs. Predator: Civilized Beasts","Dark Horse","Licensed","2008","2008"
"AUDIT SERIES","Alien vs. Predator","Alien vs. Predator: Fire and Stone","Dark Horse","Licensed","2014","2015"
"AUDIT SERIES","Alien vs. Predator","Alien vs. Predator: Life and Death","Dark Horse","Licensed","2016","2017"
"AUDIT AUTHORITY","Avatar: The Last Airbender","","Dark Horse","Licensed","",""
"AUDIT SERIES","Avatar: The Last Airbender","Avatar: The Last Airbender","Dark Horse","Licensed","2011","2026"
"AUDIT SERIES","Avatar: The Last Airbender","Avatar: The Last Airbender – The Lost Adventures","Dark Horse","Licensed","2011","2011"
"AUDIT SERIES","Avatar: The Last Airbender","Avatar: The Last Airbender – The Promise","Dark Horse","Licensed","2012","2012"
"AUDIT SERIES","Avatar: The Last Airbender","Avatar: The Last Airbender – The Search","Dark Horse","Licensed","2013","2013"
"AUDIT SERIES","Avatar: The Last Airbender","Avatar: The Last Airbender – The Rift","Dark Horse","Licensed","2014","2015"
"AUDIT SERIES","Avatar: The Last Airbender","Avatar: The Last Airbender – Smoke and Shadow","Dark Horse","Licensed","2015","2016"
"AUDIT SERIES","Avatar: The Last Airbender","Avatar: The Last Airbender – North and South","Dark Horse","Licensed","2016","2017"
"AUDIT SERIES","Avatar: The Last Airbender","Avatar: The Last Airbender – Imbalance","Dark Horse","Licensed","2018","2019"
"AUDIT AUTHORITY","The Legend of Korra","","Dark Horse","Licensed","",""
"AUDIT SERIES","The Legend of Korra","The Legend of Korra","Dark Horse","Licensed","2017","2026"
"AUDIT SERIES","The Legend of Korra","The Legend of Korra: Turf Wars","Dark Horse","Licensed","2017","2018"
"AUDIT SERIES","The Legend of Korra","The Legend of Korra: Ruins of the Empire","Dark Horse","Licensed","2019","2020"
"AUDIT AUTHORITY","Call of Duty","","Dark Horse","Licensed","",""
"AUDIT SERIES","Call of Duty","Call of Duty: Black Ops III","Dark Horse","Licensed","2015","2016"
"AUDIT SERIES","Call of Duty","Call of Duty: Zombies","Dark Horse","Licensed","2016","2017"
"AUDIT AUTHORITY","Cyberpunk 2077","","Dark Horse","Licensed","",""
"AUDIT SERIES","Cyberpunk 2077","Cyberpunk 2077: Trauma Team","Dark Horse","Licensed","2020","2020"
"AUDIT SERIES","Cyberpunk 2077","Cyberpunk 2077: You Have My Word","Dark Horse","Licensed","2021","2022"
"AUDIT SERIES","Cyberpunk 2077","Cyberpunk 2077: Blackout","Dark Horse","Licensed","2022","2022"
"AUDIT SERIES","Cyberpunk 2077","Cyberpunk 2077: XOXO","Dark Horse","Licensed","2023","2024"
"AUDIT SERIES","Cyberpunk 2077","Cyberpunk 2077: Kickdown","Dark Horse","Licensed","2024","2024"
"AUDIT AUTHORITY","Critical Role","","Dark Horse","Licensed","",""
"AUDIT SERIES","Critical Role","Critical Role: Vox Machina Origins","Dark Horse","Licensed","2017","2024"
"AUDIT SERIES","Critical Role","Critical Role: The Mighty Nein Origins","Dark Horse","Licensed","2021","2026"
"AUDIT SERIES","Critical Role","Critical Role: The Tales of Exandria","Dark Horse","Licensed","2021","2022"
"AUDIT AUTHORITY","Dragon Age","","Dark Horse","Licensed","",""
"AUDIT SERIES","Dragon Age","Dragon Age","Dark Horse","Licensed","2010","2011"
"AUDIT SERIES","Dragon Age","Dragon Age: The Silent Grove","Dark Horse","Licensed","2012","2012"
"AUDIT SERIES","Dragon Age","Dragon Age: Those Who Speak","Dark Horse","Licensed","2012","2012"
"AUDIT SERIES","Dragon Age","Dragon Age: Until We Sleep","Dark Horse","Licensed","2013","2013"
"AUDIT SERIES","Dragon Age","Dragon Age: Magekiller","Dark Horse","Licensed","2015","2016"
"AUDIT SERIES","Dragon Age","Dragon Age: Knight Errant","Dark Horse","Licensed","2017","2017"
"AUDIT SERIES","Dragon Age","Dragon Age: Deception","Dark Horse","Licensed","2018","2019"
"AUDIT SERIES","Dragon Age","Dragon Age: Blue Wraith","Dark Horse","Licensed","2020","2020"
"AUDIT SERIES","Dragon Age","Dragon Age: Dark Fortress","Dark Horse","Licensed","2021","2021"
"AUDIT AUTHORITY","EVE Online","","Dark Horse","Licensed","",""
"AUDIT SERIES","EVE Online","EVE: True Stories","Dark Horse","Licensed","2014","2014"
"AUDIT SERIES","EVE Online","EVE: Valkyrie","Dark Horse","Licensed","2015","2016"
"AUDIT AUTHORITY","Ghostbusters","","Dark Horse","Licensed","",""
"AUDIT SERIES","Ghostbusters","Ghostbusters","Dark Horse","Licensed","2008","2008"
"AUDIT SERIES","Ghostbusters","Ghostbusters: The Other Side","Dark Horse","Licensed","2008","2009"
"AUDIT AUTHORITY","G.I. Joe","","Dark Horse","Licensed","",""
"AUDIT SERIES","G.I. Joe","G.I. Joe","Dark Horse","Licensed","1995","1996"
"AUDIT AUTHORITY","God of War","","Dark Horse","Licensed","",""
"AUDIT SERIES","God of War","God of War","Dark Horse","Licensed","2018","2019"
"AUDIT SERIES","God of War","God of War: Fallen God","Dark Horse","Licensed","2021","2021"
"AUDIT AUTHORITY","Halo","","Dark Horse","Licensed","",""
"AUDIT SERIES","Halo","Halo: Uprising","Dark Horse","Licensed","2007","2009"
"AUDIT SERIES","Halo","Halo: Initiation","Dark Horse","Licensed","2013","2013"
"AUDIT SERIES","Halo","Halo: Escalation","Dark Horse","Licensed","2013","2015"
"AUDIT SERIES","Halo","Halo: Tales from Slipspace","Dark Horse","Licensed","2016","2016"
"AUDIT SERIES","Halo","Halo: Collateral Damage","Dark Horse","Licensed","2018","2018"
"AUDIT SERIES","Halo","Halo: Lone Wolf","Dark Horse","Licensed","2019","2019"
"AUDIT AUTHORITY","James Bond","","Dark Horse","Licensed","",""
"AUDIT SERIES","James Bond","James Bond 007: Serpent’s Tooth","Dark Horse","Licensed","1992","1993"
"AUDIT SERIES","James Bond","James Bond 007: A Silent Armageddon","Dark Horse","Licensed","1993","1993"
"AUDIT SERIES","James Bond","James Bond 007: Shattered Helix","Dark Horse","Licensed","1994","1994"
"AUDIT SERIES","James Bond","James Bond 007: The Quasimodo Gambit","Dark Horse","Licensed","1995","1995"
"AUDIT AUTHORITY","Mass Effect","","Dark Horse","Licensed","",""
"AUDIT SERIES","Mass Effect","Mass Effect: Redemption","Dark Horse","Licensed","2010","2010"
"AUDIT SERIES","Mass Effect","Mass Effect: Evolution","Dark Horse","Licensed","2011","2011"
"AUDIT SERIES","Mass Effect","Mass Effect: Invasion","Dark Horse","Licensed","2011","2012"
"AUDIT SERIES","Mass Effect","Mass Effect: Homeworlds","Dark Horse","Licensed","2012","2012"
"AUDIT SERIES","Mass Effect","Mass Effect: Foundation","Dark Horse","Licensed","2013","2014"
"AUDIT SERIES","Mass Effect","Mass Effect: Discovery","Dark Horse","Licensed","2017","2017"
"AUDIT AUTHORITY","Minecraft","","Dark Horse","Licensed","",""
"AUDIT SERIES","Minecraft","Minecraft","Dark Horse","Licensed","2019","2020"
"AUDIT SERIES","Minecraft","Minecraft: Wither Without You","Dark Horse","Licensed","2020","2022"
"AUDIT AUTHORITY","Overwatch","","Dark Horse","Licensed","",""
"AUDIT SERIES","Overwatch","Overwatch: Tracer – London Calling","Dark Horse","Licensed","2020","2021"
"AUDIT SERIES","Overwatch","Overwatch: New Blood","Dark Horse","Licensed","2021","2022"
"AUDIT AUTHORITY","Plants vs. Zombies","","Dark Horse","Licensed","",""
"AUDIT SERIES","Plants vs. Zombies","Plants vs. Zombies","Dark Horse","Licensed","2013","2026"
"AUDIT AUTHORITY","Serenity / Firefly","","Dark Horse","Licensed","",""
"AUDIT SERIES","Serenity / Firefly","Serenity: Those Left Behind","Dark Horse","Licensed","2005","2005"
"AUDIT SERIES","Serenity / Firefly","Serenity: Better Days","Dark Horse","Licensed","2008","2008"
"AUDIT SERIES","Serenity / Firefly","Serenity: The Shepherd’s Tale","Dark Horse","Licensed","2010","2010"
"AUDIT SERIES","Serenity / Firefly","Serenity: Leaves on the Wind","Dark Horse","Licensed","2014","2014"
"AUDIT SERIES","Serenity / Firefly","Serenity: No Power in the ’Verse","Dark Horse","Licensed","2016","2017"
"AUDIT AUTHORITY","StarCraft","","Dark Horse","Licensed","",""
"AUDIT SERIES","StarCraft","StarCraft: Scavengers","Dark Horse","Licensed","2018","2019"
"AUDIT SERIES","StarCraft","StarCraft: Soldiers","Dark Horse","Licensed","2019","2019"
"AUDIT SERIES","StarCraft","StarCraft: Survivors","Dark Horse","Licensed","2019","2020"
"AUDIT AUTHORITY","Stranger Things","","Dark Horse","Licensed","",""
"AUDIT SERIES","Stranger Things","Stranger Things","Dark Horse","Licensed","2018","2019"
"AUDIT SERIES","Stranger Things","Stranger Things: Six","Dark Horse","Licensed","2019","2019"
"AUDIT SERIES","Stranger Things","Stranger Things: Into the Fire","Dark Horse","Licensed","2020","2020"
"AUDIT SERIES","Stranger Things","Stranger Things and Dungeons & Dragons","Dark Horse","Licensed","2020","2021"
"AUDIT SERIES","Stranger Things","Stranger Things: The Voyage","Dark Horse","Licensed","2023","2024"
"AUDIT AUTHORITY","The Last of Us","","Dark Horse","Licensed","",""
"AUDIT SERIES","The Last of Us","The Last of Us: American Dreams","Dark Horse","Licensed","2013","2013"
"AUDIT AUTHORITY","The Terminator","","Dark Horse","Licensed","",""
"AUDIT SERIES","The Terminator","The Terminator","Dark Horse","Licensed","1990","1991"
"AUDIT SERIES","The Terminator","Terminator: The Burning Earth","Dark Horse","Licensed","1990","1990"
"AUDIT SERIES","The Terminator","Terminator: Hunters and Killers","Dark Horse","Licensed","1992","1992"
"AUDIT SERIES","The Terminator","Terminator: Endgame","Dark Horse","Licensed","1992","1992"
"AUDIT SERIES","The Terminator","Terminator 2: Judgment Day – Cybernetic Dawn","Dark Horse","Licensed","1995","1996"
"AUDIT SERIES","The Terminator","Terminator 2: Judgment Day – Nuclear Twilight","Dark Horse","Licensed","1995","1996"
"AUDIT AUTHORITY","Tomb Raider","","Dark Horse","Licensed","",""
"AUDIT SERIES","Tomb Raider","Tomb Raider","Dark Horse","Licensed","1999","2001"
"AUDIT SERIES","Tomb Raider","Tomb Raider","Dark Horse","Licensed","2014","2015"
"AUDIT SERIES","Tomb Raider","Lara Croft and the Frozen Omen","Dark Horse","Licensed","2015","2016"
"AUDIT AUTHORITY","The Witcher","","Dark Horse","Licensed","",""
"AUDIT SERIES","The Witcher","The Witcher","Dark Horse","Licensed","2014","2026"
"AUDIT SERIES","The Witcher","The Witcher: House of Glass","Dark Horse","Licensed","2014","2014"
"AUDIT SERIES","The Witcher","The Witcher: Fox Children","Dark Horse","Licensed","2015","2015"
"AUDIT SERIES","The Witcher","The Witcher: Curse of Crows","Dark Horse","Licensed","2016","2017"
"AUDIT SERIES","The Witcher","The Witcher: Of Flesh and Flame","Dark Horse","Licensed","2018","2019"
"AUDIT SERIES","The Witcher","The Witcher: Fading Memories","Dark Horse","Licensed","2020","2021"
"AUDIT SERIES","The Witcher","The Witcher: Witch’s Lament","Dark Horse","Licensed","2021","2021"
"AUDIT SERIES","The Witcher","The Witcher: The Ballad of Two Wolves","Dark Horse","Licensed","2022","2023"
"AUDIT SERIES","The Witcher","The Witcher: Wild Animals","Dark Horse","Licensed","2023","2024"
