change,id,title,old_parent,new_parent,publisher,type,publishing_line
"REPAIRED","SER-01365","Hawk & Dove","DC Universe","Hawk & Dove","DC","Series",""
"ADDED","DCA-0097","Heroes in Crisis","","","DC","Event",""
"REPAIRED","SER-01511","Heroes in Crisis","DC Universe","Heroes in Crisis","DC","Series",""
"REPAIRED","CHR-DCX-0096","Hinterkind","","","DC","Character","Vertigo"
"ADDED","DCS-0039","Hinterkind","","Hinterkind","DC","Series","Vertigo"
"REPAIRED","SER-DCX-0198","House of Mystery","","","DC","Anthology","Vertigo"
"REPAIRED","ANT-00002","House of Mystery","DC Mystery Anthologies","House of Mystery","DC","Anthology",""
"REPAIRED","ANT-00003","House of Secrets","DC Mystery Anthologies","House of Secrets","DC","Anthology",""
"REPAIRED","SER-00768","House of Secrets","Swamp Thing","House of Secrets","DC","Series",""
"ADDED","DCA-0149","Human Bomb","","","DC","Series",""
"REPAIRED","SER-01441","Human Bomb","DC Universe","Human Bomb","DC","Series",""
"ADDED","DCA-0083","Human Target","","","DC","Character","Black Label"
"ADDED","DCA-0150","I, Vampire","","","DC","Series",""
"REPAIRED","SER-01380","I, Vampire","DC Universe","I, Vampire","DC","Series",""
"REPAIRED","SER-00369","Icon","Icon and Rocket","Icon","DC","Series",""
"ADDED","DCA-0069","Icon vs. Hardware","","","Milestone","Series","Milestone"
"REPAIRED","SER-01707","Icon vs. Hardware","DC Universe","Icon vs. Hardware","DC","Series","Milestone"
"ADDED","DCS-0092","Icon vs. Hardware","","Icon vs. Hardware","Milestone","Series","Milestone"
"ADDED","DCA-0098","Identity Crisis","","","DC","Event",""
"REPAIRED","EVT-00079","Identity Crisis","Justice League / Universe-Wide","Identity Crisis","DC","Event",""
"ADDED","DCA-0151","Immortal Legend Batman","","","DC","Series",""
"REPAIRED","SER-01851","Immortal Legend Batman","DC Universe","Immortal Legend Batman","DC","Series",""
"ADDED","DCA-0099","Infinite Crisis","","","DC","Event",""
"REPAIRED","EVT-00066","Infinite Crisis","Crisis Saga","Infinite Crisis","DC","Event",""
"REPAIRED","EVT-00126","Infinite Crisis Aftermath: The Battle for Blüdhaven","Crisis Saga","Infinite Crisis","DC","Event",""
"ADDED","DCA-0153","Infinite Frontier","","","DC","Series",""
"REPAIRED","SER-01648","Infinite Frontier","DC Universe","Infinite Frontier","DC","Series",""
"ADDED","DCA-0154","Injustice","","","DC","Series",""
"REPAIRED","SER-01069","Injustice 2","DC Universe","Injustice","DC","Series",""
"REPAIRED","SER-01541","Injustice vs. Masters of the Universe","DC Universe","Injustice","DC","Series",""
"REPAIRED","SER-01068","Injustice: Gods Among Us","DC Universe","Injustice","DC","Series",""
"REPAIRED","SER-01457","Injustice: Gods Among Us – Year Five","DC Universe","Injustice","DC","Series",""
"REPAIRED","SER-01456","Injustice: Gods Among Us – Year Four","DC Universe","Injustice","DC","Series",""
"REPAIRED","SER-01455","Injustice: Gods Among Us – Year Three","DC Universe","Injustice","DC","Series",""
"REPAIRED","SER-01454","Injustice: Gods Among Us – Year Two","DC Universe","Injustice","DC","Series",""
"REPAIRED","SER-01458","Injustice: Ground Zero","DC Universe","Injustice","DC","Series",""
"REPAIRED","CHR-00204","iZombie","","","DC","Character","Vertigo"
"ADDED","DCS-0109","Jack of Fables","","Fables","DC","Series","Vertigo"
"ADDED","DCA-0081","The Jaguar","","","DC","Series","Impact"
"REPAIRED","SER-00374","The Jaguar","Impact Comics Imprint (Archie superheroes revival)","The Jaguar","DC","Series","Impact"
"REPAIRED","SER-01794","Jay Garrick: The Flash","DC Universe","Flash","DC","Series",""
"ADDED","DCA-0079","The Jetsons","","","DC","Series","Hanna-Barbera Beyond"
"REPAIRED","SER-00252","JLA: Earth 2","Elseworlds / Alternate Universe","Justice League","DC","Series","Elseworlds"
"ADDED","DCS-0050","JLA/Doom Patrol Special","","Milk Wars","DC","Series","Young Animal"
"ADDED","DCA-0156","Joe Kubert Presents","","","DC","Series",""
"REPAIRED","SER-01442","Joe Kubert Presents","DC Universe","Joe Kubert Presents","DC","Series",""
"REPAIRED","CHR-00208","John Constantine","","","DC","Character","Sandman Universe"
"REPAIRED","SER-01805","John Constantine, Hellblazer: Dead in America","DC Universe","John Constantine","DC","Series","Sandman Universe"
"ADDED","DCA-0082","Joker","","","DC","Character",""
"REPAIRED","SER-01560","Joker: Killer Smile","Batman","Joker","DC","Series",""
"ADDED","DCA-0100","Joker: Last Laugh","","","DC","Event",""
"REPAIRED","EVT-00120","Joker: Last Laugh","DC Universe","Joker: Last Laugh","DC","Event",""
"ADDED","DCS-0137","Joker/Harley: Criminal Sanity","","Harley Quinn","DC","Series","Black Label"
"ADDED","DCA-0185","The Judas Coin","","","DC","Series",""
"REPAIRED","SER-01649","Justice League Incarnate","DC Universe","Justice League","DC","Series",""
"REPAIRED","SER-01801","Justice League vs. Godzilla vs. Kong","DC Universe","Justice League","DC","Series",""
"REPAIRED","SER-01802","Justice League vs. Godzilla vs. Kong 2","DC Universe","Justice League","DC","Series",""
"ADDED","DCA-0012","Kill Your Boyfriend","","","DC","Series","Vertigo"
"ADDED","DCS-0015","Kill Your Boyfriend","","Kill Your Boyfriend","DC","Series","Vertigo"
"ADDED","DCA-0157","Kingdom Come","","","DC","Series","Elseworlds"
"REPAIRED","SER-00253","Kingdom Come","Elseworlds / Alternate Universe","Kingdom Come","DC","Series","Elseworlds"
"ADDED","DCA-0022","The Kitchen","","","DC","Series","Vertigo"
"ADDED","DCS-0029","The Kitchen","","The Kitchen","DC","Series","Vertigo"
"REPAIRED","SER-01803","Kneel Before Zod","DC Universe","Zod","DC","Series",""
"ADDED","DCA-0101","Knight Terrors","","","DC","Event",""
"REPAIRED","SER-01754","Knight Terrors","DC Universe","Knight Terrors","DC","Series",""
"REPAIRED","SER-01757","Knight Terrors: Action Comics","DC Universe","Knight Terrors","DC","Series",""
"REPAIRED","SER-01758","Knight Terrors: Angel Breaker","DC Universe","Knight Terrors","DC","Series",""
"REPAIRED","SER-01759","Knight Terrors: Batman","DC Universe","Knight Terrors","DC","Series",""
"REPAIRED","SER-01760","Knight Terrors: Black Adam","DC Universe","Knight Terrors","DC","Series",""
"REPAIRED","SER-01761","Knight Terrors: Catwoman","DC Universe","Knight Terrors","DC","Series",""
"REPAIRED","SER-01762","Knight Terrors: Detective Comics","DC Universe","Knight Terrors","DC","Series",""
"REPAIRED","SER-01755","Knight Terrors: First Blood","DC Universe","Knight Terrors","DC","Series",""
"REPAIRED","SER-01763","Knight Terrors: Green Lantern","DC Universe","Knight Terrors","DC","Series",""
"REPAIRED","SER-01764","Knight Terrors: Harley Quinn","DC Universe","Knight Terrors","DC","Series",""
"REPAIRED","SER-01756","Knight Terrors: Night's End","DC Universe","Knight Terrors","DC","Series",""
"REPAIRED","SER-01765","Knight Terrors: Nightwing","DC Universe","Knight Terrors","DC","Series",""
"REPAIRED","SER-01766","Knight Terrors: Poison Ivy","DC Universe","Knight Terrors","DC","Series",""
"REPAIRED","SER-01767","Knight Terrors: Punchline","DC Universe","Knight Terrors","DC","Series",""
"REPAIRED","SER-01768","Knight Terrors: Ravager","DC Universe","Knight Terrors","DC","Series",""
"REPAIRED","SER-01769","Knight Terrors: Robin","DC Universe","Knight Terrors","DC","Series",""
"REPAIRED","SER-01770","Knight Terrors: Shazam!","DC Universe","Knight Terrors","DC","Series",""
"REPAIRED","SER-01771","Knight Terrors: Superman","DC Universe","Knight Terrors","DC","Series",""
"REPAIRED","SER-01772","Knight Terrors: The Flash","DC Universe","Knight Terrors","DC","Series",""
"REPAIRED","SER-01773","Knight Terrors: The Joker","DC Universe","Knight Terrors","DC","Series",""
"REPAIRED","SER-01774","Knight Terrors: Titans","DC Universe","Knight Terrors","DC","Series",""
"REPAIRED","SER-01775","Knight Terrors: Wonder Woman","DC Universe","Knight Terrors","DC","Series",""
"REPAIRED","SER-01776","Knight Terrors: Zatanna","DC Universe","Knight Terrors","DC","Series",""
"ADDED","DCA-0066","Kobalt","","","Milestone","Series","Milestone"
"ADDED","DCS-0089","Kobalt","","Kobalt","Milestone","Series","Milestone"
"ADDED","DCA-0186","The Last God","","","DC","Series",""
"ADDED","DCA-0102","Lazarus Planet","","","DC","Event",""
"REPAIRED","EVT-00177","Lazarus Planet","DC Universe","Lazarus Planet","DC","Event",""
"REPAIRED","SER-01724","Lazarus Planet: Alpha","DC Universe","Lazarus Planet","DC","Series",""
"REPAIRED","SER-01726","Lazarus Planet: Assault on Krypton","DC Universe","Lazarus Planet","DC","Series",""
"REPAIRED","SER-01727","Lazarus Planet: Dark Fate","DC Universe","Lazarus Planet","DC","Series",""
"REPAIRED","SER-01728","Lazarus Planet: Legends Reborn","DC Universe","Lazarus Planet","DC","Series",""
"REPAIRED","SER-01729","Lazarus Planet: Next Evolution","DC Universe","Lazarus Planet","DC","Series",""
"REPAIRED","SER-01725","Lazarus Planet: Omega","DC Universe","Lazarus Planet","DC","Series",""
"REPAIRED","SER-01730","Lazarus Planet: We Once Were Gods","DC Universe","Lazarus Planet","DC","Series",""
"ADDED","DCA-0061","The League of Extraordinary Gentlemen","","","DC","Series","America's Best Comics"
"REPAIRED","SER-00031","The League of Extraordinary Gentlemen","America's Best Comics (Alan Moore line)","The League of Extraordinary Gentlemen","DC","Series","America's Best Comics"
"ADDED","DCA-0158","Legends of Tomorrow","","","DC","Series",""
"REPAIRED","SER-01427","Legends of Tomorrow","DC Universe","Legends of Tomorrow","DC","Series",""
"REPAIRED","SER-01564","Lois Lane","Superman","Lois Lane","DC","Series",""
"ADDED","DCA-0013","Loveless","","","DC","Series","Vertigo"
"ADDED","DCS-0016","Loveless","","Loveless","DC","Series","Vertigo"
"ADDED","DCA-0044","The Low, Low Woods","","","DC","Series","Hill House Comics"
"REPAIRED","SER-DCX-0202","Madame Xanadu","","","DC","Series","Vertigo"
"ADDED","DCS-0017","Madame Xanadu","","Madame Xanadu","DC","Series","Vertigo"
"ADDED","DCA-0052","Majestic","","","WildStorm","Series","WildStorm"
"ADDED","DCS-0068","Majestic","","Majestic","WildStorm","Series","WildStorm"
"ADDED","DCA-0159","Men of War","","","DC","Series",""
"REPAIRED","SER-01371","Men of War","DC Universe","Men of War","DC","Series",""
"ADDED","DCA-0038","Milk Wars","","","DC","Series","Young Animal"
"REPAIRED","SER-01599","Milk Wars","DC Universe","Milk Wars","DC","Series","Young Animal"
"REPAIRED","SER-00505","Mister Miracle","Mister Miracle / New Gods","Mister Miracle","DC","Series",""
"REPAIRED","SER-00506","Mister Miracle","Mister Miracle / New Gods","Mister Miracle","DC","Series",""
"ADDED","DCA-0160","Mister Miracle: The Source of Freedom","","","DC","Series",""
"REPAIRED","SER-01699","Mister Miracle: The Source of Freedom","DC Universe","Mister Miracle: The Source of Freedom","DC","Series",""
"ADDED","DCA-0204","More Fun Comics","","","DC","Series",""
"REPAIRED","SER-00219","More Fun Comics","Doctor Fate","More Fun Comics","DC","Series",""
"REPAIRED","SER-00313","More Fun Comics","Green Arrow","More Fun Comics","DC","Series",""
"REPAIRED","SER-00402","More Fun Comics","Johnny Quick","More Fun Comics","DC","Series",""
"REPAIRED","SER-00851","More Fun Comics","The Spectre","More Fun Comics","DC","Series",""
"ADDED","DCA-0036","Mother Panic","","","DC","Series","Young Animal"
"REPAIRED","SER-01592","Mother Panic","DC Universe","Mother Panic","DC","Series","Young Animal"
"REPAIRED","SER-01593","Mother Panic: Gotham A.D.","DC Universe","Mother Panic","DC","Series","Young Animal"
"ADDED","DCS-0051","Mother Panic/Batman Special","","Milk Wars","DC","Series","Young Animal"
"ADDED","DCA-0162","Mr. Terrific: Year One","","","DC","Series",""
"REPAIRED","SER-01850","Mr. Terrific: Year One","DC Universe","Mr. Terrific: Year One","DC","Series",""
"ADDED","DCA-0163","Mysteries of Love in Space","","","DC","Series",""
"REPAIRED","SER-01554","Mysteries of Love in Space","DC Universe","Mysteries of Love in Space","DC","Series",""
"ADDED","DCA-0164","Mystik U","","","DC","Series",""
"REPAIRED","SER-01529","Mystik U","DC Universe","Mystik U","DC","Series",""
"ADDED","DCA-0024","The Names","","","DC","Series","Vertigo"
"ADDED","DCS-0031","The Names","","The Names","DC","Series","Vertigo"
"ADDED","DCA-0070","Naomi","","","DC","Series","Wonder Comics"
"REPAIRED","SER-01601","Naomi","DC Universe","Naomi","DC","Series","Wonder Comics"
"REPAIRED","SER-01603","Naomi: Season Two","DC Universe","Naomi","DC","Series","Wonder Comics"
"ADDED","DCA-0166","National Comics: Eternity","","","DC","Series",""
"REPAIRED","SER-01437","National Comics: Eternity","DC Universe","National Comics: Eternity","DC","Series",""
"ADDED","DCA-0167","National Comics: Looker","","","DC","Series",""
"REPAIRED","SER-01438","National Comics: Looker","DC Universe","National Comics: Looker","DC","Series",""
"ADDED","DCA-0168","National Comics: Madame X","","","DC","Series",""
"REPAIRED","SER-01439","National Comics: Madame X","DC Universe","National Comics: Madame X","DC","Series",""
"ADDED","DCA-0169","National Comics: Rose & Thorn","","","DC","Series",""
"REPAIRED","SER-01440","National Comics: Rose & Thorn","DC Universe","National Comics: Rose & Thorn","DC","Series",""
"ADDED","DCA-0032","The New Deadwardians","","","DC","Series","Vertigo"
"ADDED","DCS-0040","The New Deadwardians","","The New Deadwardians","DC","Series","Vertigo"
"ADDED","DCA-0188","The New History of the DC Universe","","","DC","Series",""
"REPAIRED","CHR-00284","Northlanders","","","DC","Character","Vertigo"
"ADDED","DCA-0170","Nuclear Winter Special","","","DC","Series",""
"REPAIRED","SER-01555","Nuclear Winter Special","DC Universe","Nuclear Winter Special","DC","Series",""
"ADDED","DCA-0059","Number of the Beast","","","WildStorm","Series","WildStorm"
"ADDED","DCS-0078","Number of the Beast","","Number of the Beast","WildStorm","Series","WildStorm"
"REPAIRED","EVT-00125","The OMAC Project","Crisis Saga","Infinite Crisis","DC","Event",""
"ADDED","DCA-0172","One-Star Squadron","","","DC","Series",""
"REPAIRED","SER-01700","One-Star Squadron","DC Universe","One-Star Squadron","DC","Series",""
"ADDED","DCA-0190","The Other History of the DC Universe","","","DC","Series",""
"ADDED","DCA-0025","The Other Side","","","DC","Series","Vertigo"
"ADDED","DCS-0032","The Other Side","","The Other Side","DC","Series","Vertigo"
"ADDED","DCA-0014","Outlaw Nation","","","DC","Series","Vertigo"
"ADDED","DCS-0018","Outlaw Nation","","Outlaw Nation","DC","Series","Vertigo"
"REPAIRED","SER-00828","Peacemaker","The Peacemaker","Peacemaker","DC","Series",""
"REPAIRED","SER-00829","Peacemaker","The Peacemaker","Peacemaker","DC","Series",""
"ADDED","DCA-0173","Plastic Man No More!","","","DC","Series",""
"REPAIRED","SER-01806","Plastic Man No More!","DC Universe","Plastic Man No More!","DC","Series",""
"ADDED","DCA-0042","Plunge","","","DC","Series","Hill House Comics"
"REPAIRED","SER-01621","Plunge","DC Universe","Plunge","DC","Series","Hill House Comics"
"ADDED","DCS-0069","Point Blank","","Sleeper","WildStorm","Series","WildStorm"
"ADDED","DCA-0205","Police Comics","","","DC","Series",""
"REPAIRED","SER-00561","Police Comics","Phantom Lady","Police Comics","DC","Series",""
"REPAIRED","SER-00566","Police Comics","Plastic Man","Police Comics","DC","Series",""
"REPAIRED","SER-00811","Police Comics","The Human Bomb","Police Comics","DC","Series",""
"ADDED","DCA-0060","Promethea","","","DC","Series","America's Best Comics"
"REPAIRED","SER-00030","Promethea","America's Best Comics (Alan Moore line)","Promethea","DC","Series","America's Best Comics"
"ADDED","DCA-0015","Punk Rock Jesus","","","DC","Series","Vertigo"
"ADDED","DCS-0019","Punk Rock Jesus","","Punk Rock Jesus","DC","Series","Vertigo"
"REPAIRED","EVT-00123","Rann-Thanagar War","Crisis Saga","Infinite Crisis","DC","Event",""
"REPAIRED","SER-01855","Red Hood","DC Universe","Red Hood","DC","Series",""
"ADDED","DCA-0040","Refrigerator Full of Heads","","","DC","Series","Hill House Comics"
"REPAIRED","SER-01622","Refrigerator Full of Heads","DC Universe","Refrigerator Full of Heads","DC","Series",""
"REPAIRED","EVT-00087","Reign of the Supermen","Superman Family","Superman","DC","Event",""
"ADDED","DCA-0175","Represent!","","","DC","Series",""
"REPAIRED","SER-01612","Represent!","DC Universe","Represent!","DC","Series",""
"REPAIRED","SER-01381","Resurrection Man","DC Universe","Resurrection Man","DC","Series",""
"REPAIRED","SER-01849","Resurrection Man: Quantum Karma","DC Universe","Resurrection Man","DC","Series",""
"ADDED","DCA-0084","Rogues","","","DC","Character","Black Label"
"REPAIRED","SER-01697","Rogues","DC Universe","Rogues","DC","Series","Black Label"
"ADDED","DCA-0026","The Royals: Masters of War","","","DC","Series","Vertigo"
"ADDED","DCS-0033","The Royals: Masters of War","","The Royals: Masters of War","DC","Series","Vertigo"
"ADDED","DCA-0078","The Ruff and Reddy Show","","","DC","Series","Hanna-Barbera Beyond"
"REPAIRED","SER-01497","Ruff and Reddy Show","DC Universe","The Ruff and Reddy Show","DC","Series",""
"ADDED","DCS-0103","The Ruff and Reddy Show","","The Ruff and Reddy Show","DC","Series","Hanna-Barbera Beyond"
"REPAIRED","SER-01614","RWBY/Justice League","DC Universe","Justice League","DC","Series",""
"REPAIRED","SER-01615","RWBY/Justice League: DC/RWBY","DC Universe","Justice League","DC","Series",""
"REPAIRED","CHR-00342","Sandman","","","DC","Character","Sandman Universe"
"ADDED","DCS-0117","The Sandman: Overture","","Sandman","DC","Series","Sandman Universe"
"ADDED","DCA-0016","Saucer Country","","","DC","Series","Vertigo"
"ADDED","DCS-0020","Saucer Country","","Saucer Country","DC","Series","Vertigo"
"ADDED","DCS-0021","Saucer State","","Saucer Country","DC","Series","Vertigo"
"ADDED","DCA-0074","Scooby Apocalypse","","","DC","Series","Hanna-Barbera Beyond"
"REPAIRED","SER-01489","Scooby Apocalypse","DC Universe","Scooby Apocalypse","DC","Series","Hanna-Barbera Beyond"
"ADDED","DCA-0176","Secret Origins","","","DC","Series",""
"REPAIRED","SER-01354","Secret Origins","DC Universe","Secret Origins","DC","Series",""
"ADDED","DCA-0206","Sensation Comics","","","DC","Series",""
"REPAIRED","SER-00508","Sensation Comics","Mister Terrific (Golden Age)","Sensation Comics","DC","Series",""
"REPAIRED","SER-00965","Sensation Comics","Wildcat","Sensation Comics","DC","Series",""
"REPAIRED","SER-00976","Sensation Comics","Wonder Woman","Sensation Comics","DC","Series",""
"ADDED","DCA-0037","Shade, the Changing Girl","","","DC","Series","Young Animal"
"REPAIRED","SER-01594","Shade, the Changing Girl","DC Universe","Shade, the Changing Girl","DC","Series","Young Animal"
"ADDED","DCS-0052","Shade, the Changing Girl/Wonder Woman Special","","Milk Wars","DC","Series","Young Animal"
"REPAIRED","SER-01595","Shade, the Changing Woman","DC Universe","Shade, the Changing Girl","DC","Series","Young Animal"
"ADDED","DCA-0017","The Sheriff of Babylon","","","DC","Series","Vertigo"
"ADDED","DCS-0022","The Sheriff of Babylon","","The Sheriff of Babylon","DC","Series","Vertigo"
"REPAIRED","CHR-00439","The Shield","","","Archie","Character","Impact"
"REPAIRED","SER-00375","The Shield","Impact Comics Imprint (Archie superheroes revival)","The Shield","DC","Series","Impact"
"ADDED","DCA-0207","Showcase","","","DC","Series",""
"REPAIRED","SER-00008","Showcase","Adam Strange","Showcase","DC","Series",""
"REPAIRED","SER-00157","Showcase","Challengers of the Unknown","Showcase","DC","Series",""
"REPAIRED","SER-00482","Showcase","Metal Men","Showcase","DC","Series",""
"REPAIRED","SER-00789","Showcase","The Atom","Showcase","DC","Series",""
"ADDED","DCA-0178","Sideways","","","DC","Series",""
"REPAIRED","SER-01538","Sideways","DC Universe","Sideways","DC","Series",""
"ADDED","DCA-0191","The Silencer","","","DC","Series",""
"REPAIRED","SER-01044","Sinestro","Green Lantern","Sinestro","DC","Series",""
"ADDED","DCA-0103","Sins of Youth","","","DC","Event",""
"REPAIRED","EVT-00119","Sins of Youth","DC Universe","Sins of Youth","DC","Event",""
"ADDED","DCA-0053","Sleeper","","","WildStorm","Series","WildStorm"
"ADDED","DCS-0070","Sleeper","","Sleeper","WildStorm","Series","WildStorm"
"ADDED","DCS-0071","Sleeper: Season Two","","Sleeper","WildStorm","Series","WildStorm"
"ADDED","DCA-0179","Smallville Season 11","","","DC","Series",""
"REPAIRED","SER-01451","Smallville Season 11","DC Universe","Smallville Season 11","DC","Series",""
"ADDED","DCS-0084","Smax","","Top 10","DC","Series","America's Best Comics"
"ADDED","DCA-0045","Soul Plumber","","","DC","Series","DC Horror"
"REPAIRED","SER-01623","Soul Plumber","DC Universe","Soul Plumber","DC","Series",""
"ADDED","DCA-0018","Spaceman","","","DC","Series","Vertigo"
"ADDED","DCS-0023","Spaceman","","Spaceman","DC","Series","Vertigo"
"ADDED","DCA-0180","Speed Force","","","DC","Series",""
"REPAIRED","SER-01796","Speed Force","DC Universe","Speed Force","DC","Series",""
"ADDED","DCA-0181","Spirit World","","","DC","Series",""
"REPAIRED","SER-01752","Spirit World","DC Universe","Spirit World","DC","Series",""
"ADDED","DCA-0208","Star Spangled Comics","","","DC","Series",""
"REPAIRED","SER-00616","Star Spangled Comics","Robotman (Golden Age)","Star Spangled Comics","DC","Series",""
"REPAIRED","SER-00810","Star Spangled Comics","The Guardian & the Newsboy Legion","Star Spangled Comics","DC","Series",""
"REPAIRED","SER-00858","Star Spangled Comics","The Star-Spangled Kid & Stripesy","Star Spangled Comics","DC","Series",""
"REPAIRED","SER-00876","Star Spangled Comics","TNT and Dan the Dyna-Mite","Star Spangled Comics","DC","Series",""
"REPAIRED","SER-00041","Strange Adventures","Animal Man","Strange Adventures","DC","Series","Black Label"
"REPAIRED","CHR-00393","Superman","","","DC","Character","Elseworlds"
"REPAIRED","SER-01608","Superman Smashes the Klan","DC Universe","Superman","DC","Series",""
"REPAIRED","SER-01872","Superman: Man of Tomorrow","DC Universe","Superman","DC","Series",""
"REPAIRED","SER-01609","Superman: Red & Blue","DC Universe","Superman","DC","Series",""
"REPAIRED","SER-00254","Superman: Red Son","Elseworlds / Alternate Universe","Superman","DC","Series","Elseworlds"
"REPAIRED","SER-00766","Superman: Red Son","Superman Black Label Line","Superman","DC","Series","Elseworlds"
"REPAIRED","SER-00767","Superman: Space Age","Superman Black Label Line","Superman","DC","Series","Black Label"
"ADDED","DCS-0133","Superman: The Kryptonite Spectrum","","Superman","DC","Series","Black Label"
"ADDED","DCS-0132","Superman: The Last Days of Lex Luthor","","Superman","DC","Series","Black Label"
"ADDED","DCS-0130","Superman: Year One","","Superman","DC","Series","Black Label"
"REPAIRED","SER-01546","Superman/Top Cat Special","DC Universe","Superman","DC","Series",""
"REPAIRED","SER-00401","Swamp Thing","John Constantine","Swamp Thing","DC","Series",""
"ADDED","DCA-0182","Sword of Azrael","","","DC","Series",""
"REPAIRED","SER-01702","Sword of Azrael","DC Universe","Sword of Azrael","DC","Series",""
"REPAIRED","SER-01382","Sword of Sorcery","DC Universe","Sword of Sorcery","DC","Series",""
"REPAIRED","SER-01476","Telos","DC Universe","Telos","DC","Series",""
"ADDED","DCA-0065","Terra Obscura","","","DC","Series","America's Best Comics"
"ADDED","DCS-0088","Terra Obscura","","Terra Obscura","DC","Series","America's Best Comics"
"REPAIRED","SER-01711","The Batman & Scooby-Doo Mysteries","DC Universe","Batman","DC","Series",""
"REPAIRED","SER-01604","The Batman's Grave","DC Universe","Batman","DC","Series",""
"REPAIRED","SER-01804","The Boy Wonder","DC Universe","Batman","DC","Series",""
"REPAIRED","SER-01535","The Curse of Brimstone","DC Universe","The Curse of Brimstone","DC","Series",""
"REPAIRED","SER-01833","The Deadman","DC Universe","Deadman","DC","Series",""
"REPAIRED","SER-DCX-0217","The Demon","","Etrigan the Demon","DC","Series",""
"REPAIRED","SER-01618","The Dollhouse Family","DC Universe","The Dollhouse Family","DC","Series","Hill House Comics"
"REPAIRED","SER-01072","The Dreaming","Vertigo / Black Label","Sandman","DC","Series","Sandman Universe"
"REPAIRED","SER-01878","The Dreaming","Vertigo / Black Label","Sandman","DC","Series","Vertigo"
"REPAIRED","SER-01797","The Flash: One-Minute War Special","DC Universe","Flash","DC","Series",""
"REPAIRED","SER-01453","The Flash: Season Zero","DC Universe","Flash","DC","Series",""
"REPAIRED","SER-01492","The Flintstones","DC Universe","The Flintstones","DC","Series","Hanna-Barbera Beyond"
"REPAIRED","SER-01071","The Human Target","Vertigo / Black Label","Human Target","DC","Series","Black Label"
"REPAIRED","SER-01494","The Jetsons","DC Universe","The Jetsons","DC","Series",""
"REPAIRED","SER-01659","The Joker","Batman","The Joker","DC","Series",""
"REPAIRED","SER-01443","The Judas Coin","DC Universe","The Judas Coin","DC","Series",""
"REPAIRED","SER-01587","The Last God","DC Universe","The Last God","DC","Series",""
"REPAIRED","SER-01487","The Legend of Wonder Woman","DC Universe","Wonder Woman","DC","Series",""
"REPAIRED","SER-01620","The Low, Low Woods","DC Universe","The Low, Low Woods","DC","Series","Hill House Comics"
"REPAIRED","SER-01423","The New 52: Futures End","DC Universe","Future's End","DC","Series",""
"REPAIRED","SER-01848","The New History of the DC Universe","DC Universe","The New History of the DC Universe","DC","Series",""
"REPAIRED","SER-01070","The Nice House by the Sea","Vertigo / Black Label","The Nice House on the Lake","DC","Series","Vertigo"
"REPAIRED","SER-01586","The Other History of the DC Universe","DC Universe","The Other History of the DC Universe","DC","Series",""
"REPAIRED","SER-01073","The Sandman Universe","Vertigo / Black Label","Sandman","DC","Series","Sandman Universe"
"REPAIRED","SER-01791","The Sandman Universe: Nightmare Country","DC Universe","Sandman","DC","Series","Sandman Universe"
"REPAIRED","SER-01792","The Sandman Universe: Nightmare Country – The Glass House","DC Universe","Sandman","DC","Series","Sandman Universe"
"REPAIRED","SER-01539","The Silencer","DC Universe","The Silencer","DC","Series",""
"REPAIRED","SER-01701","The Vigil","DC Universe","The Vigil","DC","Series",""
"REPAIRED","SER-01532","The Wild Storm","DC Universe","The Wild Storm","DC","Series","WildStorm"
"REPAIRED","SER-01533","The Wild Storm: Michael Cray","DC Universe","The Wild Storm","DC","Series","WildStorm"
"ADDED","DCA-0193","Threshold","","","DC","Series",""
"REPAIRED","SER-01374","Threshold","DC Universe","Threshold","DC","Series",""
"ADDED","DCA-0062","Tom Strong","","","DC","Series","America's Best Comics"
"REPAIRED","SER-00032","Tom Strong","America's Best Comics (Alan Moore line)","Tom Strong","DC","Series","America's Best Comics"
"ADDED","DCS-0082","Tom Strong's Terrific Tales","","Tom Strong","DC","Series","America's Best Comics"
"ADDED","DCA-0064","Tomorrow Stories","","","DC","Series","America's Best Comics"
"REPAIRED","SER-00033","Tomorrow Stories","America's Best Comics (Alan Moore line)","Tomorrow Stories","DC","Series","America's Best Comics"
"ADDED","DCA-0063","Top 10","","","DC","Series","America's Best Comics"
"REPAIRED","SER-00034","Top 10","America's Best Comics (Alan Moore line)","Top 10","DC","Series","America's Best Comics"
"ADDED","DCS-0086","Top 10: Beyond the Farthest Precinct","","Top 10","DC","Series","America's Best Comics"
"ADDED","DCS-0085","Top 10: The Forty-Niners","","Top 10","DC","Series","America's Best Comics"
"ADDED","DCA-0054","Tranquility","","","WildStorm","Series","WildStorm"
"ADDED","DCA-0027","Trillium","","","DC","Series","Vertigo"
"ADDED","DCS-0034","Trillium","","Trillium","DC","Series","Vertigo"
"REPAIRED","SER-01504","Trinity","DC Universe","Trinity","DC","Series",""
"ADDED","DCA-0194","Trinity of Sin","","","DC","Series",""
"REPAIRED","SER-01383","Trinity of Sin","DC Universe","Trinity of Sin","DC","Series",""
"REPAIRED","SER-01385","Trinity of Sin: Pandora","DC Universe","Trinity of Sin","DC","Series",""
"REPAIRED","SER-01384","Trinity of Sin: The Phantom Stranger","DC Universe","Trinity of Sin","DC","Series",""
"ADDED","DCA-0195","Truth & Justice","","","DC","Series",""
"REPAIRED","SER-01613","Truth & Justice","DC Universe","Truth & Justice","DC","Series",""
