"Cover title","Type","Parent authority","Marker type","Marker","Start year","End year","Coverage status","Authority ID"
"Ant-Man and the Wasp","Series","Ant-Man / Giant-Man","era","Fresh Start","2018","2018","Covered","SER-02120"
"Asgardians of the Galaxy","Series","Thor","era","Fresh Start","2018","2019","Covered","SER-02121"
"Avengers","Series","Avengers","era","Fresh Start","2018","2023","Covered","SER-02122"
"Avengers: No Road Home","Series","Avengers","era","Fresh Start","2019","2019","Covered","SER-01098"
"Black Panther","Series","Black Panther","era","Fresh Start","2018","2021","Covered","SER-02123"
"Black Widow","Series","Black Widow","era","Fresh Start","2019","2019","Covered","SER-02124"
"Captain America","Series","Captain America","era","Fresh Start","2018","2021","Covered","SER-02125"
"Captain Marvel","Series","Captain Marvel (Carol Danvers)","era","Fresh Start","2019","2023","Covered","SER-02126"
"Champions","Series","Champions","era","Fresh Start","2019","2019","Covered","SER-02127"
"Conan the Barbarian","Series","Marvel Universe","era","Fresh Start","2019","2019","Covered","SER-02128"
"Cosmic Ghost Rider","Series","Ghost Rider","era","Fresh Start","2018","2018","Covered","SER-02129"
"Daredevil","Series","Daredevil","era","Fresh Start","2019","2021","Covered","SER-02130"
"Dead Man Logan","Series","Old Man Logan","era","Fresh Start","2018","2019","Covered","SER-02131"
"Deadpool","Series","Deadpool","era","Fresh Start","2018","2019","Covered","SER-02132"
"Death of the Inhumans","Series","Inhumans","era","Fresh Start","2018","2018","Covered","SER-02133"
"Defenders: The Best Defense","Series","Defenders","era","Fresh Start","2018","2018","Covered","SER-02134"
"Doctor Strange","Series","Doctor Strange","era","Fresh Start","2018","2019","Covered","SER-02135"
"Domino","Series","X-Men","era","Fresh Start","2018","2019","Covered","SER-02136"
"Exiles","Series","Exiles","era","Fresh Start","2018","2019","Covered","SER-02137"
"Fantastic Four","Series","Fantastic Four","era","Fresh Start","2018","2022","Covered","SER-02138"
"Friendly Neighborhood Spider-Man","Series","Spider-Man","era","Fresh Start","2019","2019","Covered","SER-02139"
"Ghost Rider","Series","Ghost Rider","era","Fresh Start","2019","2020","Covered","SER-02140"
"Guardians of the Galaxy","Series","Guardians of the Galaxy","era","Fresh Start","2019","2020","Covered","SER-02141"
"Immortal Hulk","Series","Hulk","era","Fresh Start","2018","2021","Covered","SER-02142"
"Infinity Wars","Series","Infinity Saga","era","Fresh Start","2018","2018","Covered","SER-02143"
"Ironheart","Series","Iron Man","era","Fresh Start","2018","2020","Covered","SER-01109"
"Jessica Jones: Blind Spot","Series","Marvel Universe","era","Fresh Start","2018","2018","Covered","SER-02144"
"Jessica Jones: Purple Daughter","Series","Marvel Universe","era","Fresh Start","2019","2019","Covered","SER-02145"
"Killmonger","Series","Black Panther","era","Fresh Start","2018","2019","Covered","SER-02146"
"Life of Captain Marvel","Series","Captain Marvel (Carol Danvers)","era","Fresh Start","2018","2018","Covered","SER-02147"
"Man Without Fear","Series","Daredevil","era","Fresh Start","2019","2019","Covered","SER-02148"
"Marvel Knights 20th","Series","Marvel Universe","era","Fresh Start","2018","2019","Covered","SER-02149"
"Marvel Rising","Series","Marvel Universe","era","Fresh Start","2018","2019","Covered","SER-02150"
"Meet the Skrulls","Series","Marvel Universe","era","Fresh Start","2019","2019","Covered","SER-02151"
"Miles Morales: Spider-Man","Series","Miles Morales","era","Fresh Start","2018","2022","Covered","SER-00496"
"Moon Knight","Series","Moon Knight","era","Fresh Start","2021","2024","Covered","SER-02152"
"Mr. and Mrs. X","Series","X-Men","era","Fresh Start","2018","2019","Covered","SER-02153"
"Old Man Hawkeye","Series","Hawkeye","era","Fresh Start","2018","2018","Covered","SER-02154"
"Old Man Quill","Series","Star-Lord","era","Fresh Start","2019","2019","Covered","SER-02155"
"Punisher","Series","Punisher","era","Fresh Start","2018","2019","Covered","SER-02156"
"Runaways","Series","Runaways","era","Fresh Start","2017","2021","Covered","SER-02157"
"Savage Avengers","Series","Avengers","era","Fresh Start","2019","2022","Covered","SER-02158"
"Shuri","Series","Black Panther","era","Fresh Start","2018","2019","Covered","SER-02159"
"Silver Surfer: Black","Series","Silver Surfer","era","Fresh Start","2019","2019","Covered","SER-02160"
"Spider-Geddon","Series","Spider-Verse","era","Fresh Start","2018","2018","Covered","SER-01100"
"Spider-Gwen: Ghost-Spider","Series","Spider-Gwen / Ghost-Spider","era","Fresh Start","2018","2019","Covered","CHR-00377"
"Spider-Man: City at War","Series","Spider-Man","era","Fresh Start","2019","2020","Covered","SER-02161"
"Spider-Man: Life Story","Series","Spider-Man","era","Fresh Start","2019","2019","Covered","SER-01101"
"Superior Spider-Man","Series","Spider-Man","era","Fresh Start","2018","2019","Covered","SER-02162"
"Tony Stark: Iron Man","Series","Iron Man","era","Fresh Start","2018","2019","Covered","SER-02163"
"Uncanny X-Men","Series","X-Men","era","Fresh Start","2018","2019","Covered","SER-02164"
"Unstoppable Wasp","Series","Wasp","era","Fresh Start","2018","2019","Covered","SER-02165"
"Venom","Series","Venom","era","Fresh Start","2018","2021","Covered","SER-02166"
"Vision","Series","Vision & Scarlet Witch","era","Fresh Start","2018","2019","Covered","SER-02167"
"Weapon H","Series","Weapon X","era","Fresh Start","2018","2019","Covered","SER-02168"
"West Coast Avengers","Series","Avengers","era","Fresh Start","2018","2019","Covered","SER-00062"
"Winter Soldier","Series","Winter Soldier","era","Fresh Start","2018","2019","Covered","SER-02169"
"Wolverine: The Long Night","Series","Wolverine","era","Fresh Start","2019","2019","Covered","SER-02170"
"House of X","Series","X-Men","era","Dawn of X","2019","2019","Covered","SER-01079"
"Powers of X","Series","X-Men","era","Dawn of X","2019","2019","Covered","SER-01080"
"X-Men","Series","X-Men","era","Dawn of X","2019","2021","Covered","SER-02171"
"Excalibur","Series","X-Men","era","Dawn of X","2019","2021","Covered","SER-00994"
"Marauders","Series","X-Men","era","Dawn of X","2019","2022","Covered","SER-01087"
"New Mutants","Series","New Mutants","era","Dawn of X","2019","2021","Covered","CHR-00273"
"X-Force","Series","X-Men","era","Dawn of X","2019","2024","Covered","SER-02172"
"Fallen Angels","Series","X-Men","era","Dawn of X","2019","2020","Covered","SER-02173"
"Wolverine","Series","Wolverine","era","Dawn of X","2020","2024","Covered","SER-02174"
"Cable","Series","Cable","era","Dawn of X","2020","2021","Covered","SER-02175"
"Hellions","Series","X-Men","era","Dawn of X","2020","2021","Covered","SER-01086"
"X-Factor","Series","X-Men","era","Dawn of X","2020","2021","Covered","SER-00039"
"Giant-Size X-Men","Series","X-Men","era","Dawn of X","2020","2020","Covered","SER-02176"
"Empyre: X-Men","Series","X-Men","era","Dawn of X","2020","2020","Covered","SER-02177"
"Juggernaut","Series","X-Men","era","Dawn of X","2020","2021","Covered","SER-02178"
"S.W.O.R.D.","Series","X-Men","era","Reign of X","2020","2021","Covered","SER-01088"
"Way of X","Series","X-Men","era","Reign of X","2021","2021","Covered","SER-02179"
"Children of the Atom","Series","X-Men","era","Reign of X","2021","2021","Covered","SER-02180"
"X-Corp","Series","X-Men","era","Reign of X","2021","2021","Covered","SER-02181"
"X-Men","Series","X-Men","era","Reign of X","2021","2024","Covered","SER-02182"
"Excalibur","Series","X-Men","era","Reign of X","2021","2022","Covered","SER-02183"
"Marauders","Series","X-Men","era","Reign of X","2021","2022","Covered","SER-02184"
"New Mutants","Series","New Mutants","era","Reign of X","2021","2022","Covered","SER-02185"
"X-Force","Series","X-Men","era","Reign of X","2021","2022","Covered","SER-02186"
"Wolverine","Series","Wolverine","era","Reign of X","2021","2022","Covered","SER-02187"
"Hellions","Series","X-Men","era","Reign of X","2021","2021","Covered","SER-02188"
"Trial of Magneto","Series","Magneto","era","Reign of X","2021","2022","Covered","SER-02189"
"Inferno","Series","X-Men","era","Reign of X","2021","2022","Covered","EVT-00106"
"Onslaught Revelation","Series","X-Men","era","Reign of X","2021","2021","Covered","SER-02190"
"X Lives of Wolverine","Series","Wolverine","era","Reign of X","2022","2022","Covered","SER-02191"
"X Deaths of Wolverine","Series","Wolverine","era","Reign of X","2022","2022","Covered","SER-02192"
"Immortal X-Men","Series","X-Men","era","Destiny of X","2022","2023","Covered","SER-02193"
"X-Men Red","Series","X-Men","era","Destiny of X","2022","2023","Covered","SER-02194"
"Legion of X","Series","X-Men","era","Destiny of X","2022","2023","Covered","SER-02195"
"Knights of X","Series","X-Men","era","Destiny of X","2022","2022","Covered","SER-02196"
"Marauders","Series","X-Men","era","Destiny of X","2022","2023","Covered","SER-02197"
"New Mutants","Series","New Mutants","era","Destiny of X","2022","2023","Covered","SER-02198"
"X-Force","Series","X-Men","era","Destiny of X","2022","2023","Covered","SER-02199"
"Wolverine","Series","Wolverine","era","Destiny of X","2022","2023","Covered","SER-02200"
"X-Terminators","Series","X-Men","era","Destiny of X","2022","2023","Covered","SER-02201"
"Sabretooth","Series","Sabretooth","era","Destiny of X","2022","2022","Covered","SER-02202"
"Sabretooth and the Exiles","Series","Sabretooth","era","Destiny of X","2022","2023","Covered","SER-02203"
"Bishop: War College","Series","X-Men","era","Destiny of X","2023","2023","Covered","SER-02204"
"Rogue & Gambit","Series","Gambit","era","Destiny of X","2023","2023","Covered","SER-02205"
"Betsy Braddock: Captain Britain","Series","X-Men","era","Destiny of X","2023","2023","Covered","SER-02206"
"Sins of Sinister","Series","X-Men","era","Destiny of X","2023","2023","Covered","SER-02207"
"Storm & the Brotherhood of Mutants","Series","Storm","era","Destiny of X","2023","2023","Covered","SER-02208"
"Nightcrawlers","Series","Nightcrawler","era","Destiny of X","2023","2023","Covered","SER-02209"
"Immoral X-Men","Series","X-Men","era","Destiny of X","2023","2023","Covered","SER-02210"
"Astonishing Iceman","Series","X-Men","era","Fall of X","2023","2023","Covered","SER-02211"
"Children of the Vault","Series","X-Men","era","Fall of X","2023","2023","Covered","SER-02212"
"Dark X-Men","Series","X-Men","era","Fall of X","2023","2023","Covered","SER-02213"
"Jean Grey","Series","Jean Grey / Phoenix","era","Fall of X","2023","2023","Covered","SER-02214"
"Realm of X","Series","X-Men","era","Fall of X","2023","2023","Covered","SER-02215"
"Uncanny Avengers","Series","Avengers","era","Fall of X","2023","2023","Covered","SER-02216"
"Uncanny Spider-Man","Series","Nightcrawler","era","Fall of X","2023","2023","Covered","SER-02217"
"Alpha Flight","Series","Alpha Flight","era","Fall of X","2023","2023","Covered","SER-02218"
"Ms. Marvel: The New Mutant","Series","Ms. Marvel (Kamala Khan)","era","Fall of X","2023","2023","Covered","SER-02219"
"Ms. Marvel: Mutant Menace","Series","Ms. Marvel (Kamala Khan)","era","Fall of X","2024","2024","Covered","SER-02220"
"Cable","Series","Cable","era","Fall of X","2024","2024","Covered","SER-02221"
"Dead X-Men","Series","X-Men","era","Fall of X","2024","2024","Covered","SER-02222"
"Fall of the House of X","Series","X-Men","era","Fall of X","2024","2024","Covered","SER-01089"
"Rise of the Powers of X","Series","X-Men","era","Fall of X","2024","2024","Covered","SER-01090"
"Resurrection of Magneto","Series","Magneto","era","Fall of X","2024","2024","Covered","SER-02223"
"X-Men: Forever","Series","X-Men","era","Fall of X","2024","2024","Covered","SER-02224"
"Weapon X-Men","Series","Weapon X","era","Fall of X","2024","2024","Covered","SER-02225"
"X-Men: Heir of Apocalypse","Series","X-Men","era","Fall of X","2024","2024","Covered","SER-02226"
"X-Men","Series","X-Men","era","From the Ashes","2024","","Covered","SER-02227"
"Uncanny X-Men","Series","X-Men","era","From the Ashes","2024","","Covered","SER-02228"
"Exceptional X-Men","Series","X-Men","era","From the Ashes","2024","2025","Covered","SER-02229"
"X-Force","Series","X-Men","era","From the Ashes","2024","2025","Covered","SER-02230"
"X-Factor","Series","X-Men","era","From the Ashes","2024","2025","Covered","SER-02231"
"Wolverine","Series","Wolverine","era","From the Ashes","2024","","Covered","SER-02232"
"Phoenix","Series","Jean Grey / Phoenix","era","From the Ashes","2024","2025","Covered","SER-02233"
"Storm","Series","Storm","era","From the Ashes","2024","2025","Covered","SER-02234"
"NYX","Series","X-Men","era","From the Ashes","2024","2025","Covered","SER-00989"
"Mystique","Series","Mystique","era","From the Ashes","2024","2025","Covered","SER-02235"
"Psylocke","Series","X-Men","era","From the Ashes","2024","2025","Covered","SER-02236"
"Magik","Series","X-Men","era","From the Ashes","2025","2025","Covered","SER-02237"
"Laura Kinney: Wolverine","Series","X-23 / Wolverine (Laura Kinney)","era","From the Ashes","2024","2025","Covered","SER-02238"
"Sentinels","Series","X-Men","era","From the Ashes","2024","2025","Covered","SER-02239"
"Hellverine","Series","Wolverine","era","From the Ashes","2024","2025","Covered","SER-02240"
"Weapon X-Men","Series","Weapon X","era","From the Ashes","2025","2025","Covered","SER-02241"
"X-Manhunt","Series","X-Men","era","From the Ashes","2025","2025","Covered","SER-02242"
"X-Men: Age of Revelation Overture","Series","X-Men","era","From the Ashes","2025","2025","Covered","SER-02243"
"Ultimate Invasion","Series","Ultimate Universe","line","Ultimate Universe","2023","2023","Covered","EVT-00092"
"Ultimate Universe","Series","Ultimate Universe","line","Ultimate Universe","2023","2023","Covered","REF-00015"
"Ultimate Spider-Man","Series","Spider-Man (2024 Ultimate Universe relaunch)","line","Ultimate Universe","2024","2025","Covered","SER-02244"
"Ultimate Black Panther","Series","Ultimate Black Panther","line","Ultimate Universe","2024","2025","Covered","SER-02245"
"Ultimate X-Men","Series","Ultimate X-Men (2024 relaunch)","line","Ultimate Universe","2024","2026","Covered","SER-02246"
"Ultimates","Series","Ultimate Universe","line","Ultimate Universe","2024","2026","Covered","SER-02247"
"Ultimate Wolverine","Series","Ultimate Universe","line","Ultimate Universe","2025","2026","Covered","SER-02248"
"Ultimate Spider-Man: Incursion","Series","Ultimate Universe","line","Ultimate Universe","2025","2025","Covered","SER-02249"
"Ultimate Endgame","Series","Ultimate Universe","line","Ultimate Universe","2025","2026","Covered","SER-02250"
"Ultimate Universe: One Year In","Series","Ultimate Universe","line","Ultimate Universe","2024","2024","Covered","SER-02251"
"Ultimate Universe: Two Years In","Series","Ultimate Universe","line","Ultimate Universe","2025","2025","Covered","SER-02252"
"Ultimate Universe: Finale","Series","Ultimate Universe","line","Ultimate Universe","2026","2026","Covered","SER-02253"
"Ultimate Impact: Reborn","Series","Ultimate Universe","line","Ultimate Universe","2026","2026","Covered","SER-02254"
"Alien","Series","Alien / Predator","line","Alien / Predator","2021","2022","Covered","SER-00016"
"Alien: Black, White & Blood","Series","Alien / Predator","line","Alien / Predator","2024","2024","Covered","SER-02255"
"Alien: Icarus","Series","Alien / Predator","line","Alien / Predator","2022","2022","Covered","SER-02256"
"Alien: Paradiso","Series","Alien / Predator","line","Alien / Predator","2024","2025","Covered","SER-02257"
"Alien: Revival","Series","Alien / Predator","line","Alien / Predator","2025","2025","Covered","SER-02258"
"Alien: Romulus","Series","Alien / Predator","line","Alien / Predator","2024","2024","Covered","SER-02259"
"Alien: Thaw","Series","Alien / Predator","line","Alien / Predator","2023","2023","Covered","SER-02260"
"Alien: What If...?","Series","Alien / Predator","line","Alien / Predator","2024","2024","Covered","SER-02261"
"Predator","Series","Alien / Predator","line","Alien / Predator","2022","2023","Covered","SER-00017"
"Predator: The Last Hunt","Series","Alien / Predator","line","Alien / Predator","2024","2024","Covered","SER-02262"
"Predator: Black, White & Blood","Series","Alien / Predator","line","Alien / Predator","2025","2025","Covered","SER-02263"
"Predator vs. Black Panther","Series","Alien / Predator","line","Alien / Predator","2024","2024","Covered","SER-02264"
"Predator vs. Spider-Man","Series","Alien / Predator","line","Alien / Predator","2025","2025","Covered","SER-02265"
"Predator vs. Wolverine","Series","Alien / Predator","line","Alien / Predator","2023","2024","Covered","SER-02266"
"Marvel Knights 20th","Series","Marvel Universe","line","Marvel Knights","2018","2019","Covered","SER-02267"
"Marvel Knights: The World to Come","Series","Marvel Universe","line","Marvel Knights","2025","2026","Covered","SER-02268"
"Marvel Knights: Spider-Man","Series","Spider-Man","line","Marvel Knights","2004","2006","Covered","SER-02269"
"Marvel Knights: Wolverine","Series","Wolverine","line","Marvel Knights","2004","2005","Covered","SER-02270"
"Marvel Knights: Hulk","Series","Hulk","line","Marvel Knights","2014","2014","Covered","SER-02271"
"Daredevil: Father","Series","Daredevil","line","Marvel Knights","2004","2007","Covered","SER-02272"
"District X","Series","X-Men","line","Marvel Knights","2004","2006","Covered","SER-02273"
"Madrox","Series","X-Men","line","Marvel Knights","2004","2005","Covered","SER-02274"
"Black Panther","Series","Black Panther","line","Marvel Knights","1998","2003","Covered","SER-02275"
"The Punisher","Series","Punisher","line","Marvel Knights","1998","1999","Covered","SER-00581"
"The Sentry","Series","Sentry","line","Marvel Knights","2000","2001","Covered","SER-02276"
"Inhumans","Series","Inhumans","line","Marvel Knights","1998","1999","Covered","CHR-00198"
"Alias","Series","Marvel Universe","line","MAX","2001","2004","Covered","SER-01104"
"Apache Skies","Series","Rawhide Kid","line","MAX","2002","2002","Covered","SER-02277"
"Black Widow: Pale Little Spider","Series","Black Widow","line","MAX","2002","2002","Covered","SER-02278"
"Cage","Series","Luke Cage","line","MAX","2002","2002","Covered","SER-02279"
"Dead of Night Featuring Man-Thing","Series","Man-Thing","line","MAX","2008","2008","Covered","SER-02280"
"Dead of Night Featuring Werewolf by Night","Series","Marvel Horror Line","line","MAX","2009","2009","Covered","SER-02281"
"Foolkiller","Series","Marvel Universe","line","MAX","2007","2008","Covered","SER-02282"
"Foolkiller: White Angels","Series","Marvel Universe","line","MAX","2008","2009","Covered","SER-02283"
"Fury","Series","Nick Fury","line","MAX","2001","2002","Covered","SER-02284"
"Fury: My War Gone By","Series","Nick Fury","line","MAX","2012","2013","Covered","SER-02285"
"The Hood","Series","Marvel Universe","line","MAX","2002","2002","Covered","SER-02286"
"Howard the Duck","Series","Howard the Duck","line","MAX","2002","2002","Covered","SER-02287"
"Punisher MAX","Series","Punisher","line","MAX","2004","2009","Covered","SER-02288"
"Punisher: Frank Castle MAX","Series","Punisher","line","MAX","2009","2012","Covered","SER-02289"
"Rawhide Kid","Series","Rawhide Kid","line","MAX","2003","2003","Covered","SER-02290"
"Supreme Power","Series","Marvel Universe","line","MAX","2003","2005","Covered","SER-02291"
"Supreme Power: Hyperion","Series","Marvel Universe","line","MAX","2005","2006","Covered","SER-02292"
"Supreme Power: Nighthawk","Series","Marvel Universe","line","MAX","2005","2006","Covered","SER-02293"
"Thor: Vikings","Series","Thor","line","MAX","2003","2004","Covered","SER-02294"
"Zombie","Series","Marvel Zombies","line","MAX","2006","2006","Covered","SER-02295"
"2099 Alpha","Series","Marvel Universe","line","2099","2019","2019","Covered","SER-02296"
"2099 Omega","Series","Marvel Universe","line","2099","2019","2019","Covered","SER-02297"
"Annihilation 2099","Series","Annihilation Saga","line","2099","2024","2024","Covered","SER-02298"
"Avengers 2099","Series","Avengers","line","2099","2015","2015","Covered","SER-02299"
"Conan 2099","Series","Marvel Universe","line","2099","2019","2019","Covered","SER-02300"
"Fantastic Four 2099","Series","Fantastic Four","line","2099","2019","2019","Covered","SER-02301"
"Ghost Rider 2099","Series","Ghost Rider","line","2099","1994","1996","Covered","SER-02302"
"Ghost Rider 2099","Series","Ghost Rider","line","2099","2019","2019","Covered","SER-02303"
"Hulk 2099","Series","Hulk","line","2099","1994","1995","Covered","SER-02304"
"Punisher 2099","Series","Punisher 2099","line","2099","1993","1995","Covered","SER-02305"
"Punisher 2099","Series","Punisher 2099","line","2099","2019","2019","Covered","SER-02306"
"Secret Wars 2099","Series","Secret Wars","line","2099","2015","2015","Covered","SER-02307"
"Spider-Man 2099","Series","Spider-Man 2099","line","2099","1992","1996","Covered","SER-02308"
"Spider-Man 2099","Series","Spider-Man 2099","line","2099","2014","2017","Covered","SER-02309"
"Spider-Man 2099: Dark Genesis","Series","Spider-Man 2099","line","2099","2023","2023","Covered","SER-02310"
"Spider-Man 2099: Exodus","Series","Spider-Man 2099","line","2099","2022","2022","Covered","SER-02311"
"Spider-Man 2099: Miguel O'Hara","Series","Spider-Man 2099","line","2099","2024","2024","Covered","SER-02312"
"Symbiote Spider-Man 2099","Series","Spider-Man 2099","line","2099","2024","2024","Covered","SER-02313"
"Venom 2099","Series","Venom","line","2099","2019","2019","Covered","SER-02314"
"X-Men 2099","Series","X-Men 2099","line","2099","1993","1996","Covered","SER-02315"
"Marvel Zombies","Series","Marvel Zombies","line","Marvel Zombies","2005","2006","Covered","SER-02316"
"Marvel Zombies 2","Series","Marvel Zombies","line","Marvel Zombies","2007","2008","Covered","SER-02317"
"Marvel Zombies 3","Series","Marvel Zombies","line","Marvel Zombies","2008","2009","Covered","SER-02318"
"Marvel Zombies 4","Series","Marvel Zombies","line","Marvel Zombies","2009","2009","Covered","SER-02319"
"Marvel Zombies 5","Series","Marvel Zombies","line","Marvel Zombies","2010","2010","Covered","SER-02320"
"Marvel Zombies Return","Series","Marvel Zombies","line","Marvel Zombies","2009","2009","Covered","SER-02321"
"Marvel Zombies Supreme","Series","Marvel Zombies","line","Marvel Zombies","2011","2011","Covered","SER-02322"
"Marvel Zombies Destroy!","Series","Marvel Zombies","line","Marvel Zombies","2012","2012","Covered","SER-02323"
"Marvel Zombies Halloween","Series","Marvel Zombies","line","Marvel Zombies","2012","2012","Covered","SER-02324"
"Marvel Zombies vs. Army of Darkness","Series","Marvel Zombies","line","Marvel Zombies","2007","2007","Covered","SER-02325"
"Marvel Zombies: Dead Days","Series","Marvel Zombies","line","Marvel Zombies","2007","2007","Covered","SER-02326"
"Marvel Zombies: Evil Evolution","Series","Marvel Zombies","line","Marvel Zombies","2009","2009","Covered","SER-02327"
"Marvel Zombies: Resurrection","Series","Marvel Zombies","line","Marvel Zombies","2019","2020","Covered","SER-02328"
"Marvel Zombies: Black, White & Blood","Series","Marvel Zombies","line","Marvel Zombies","2023","2024","Covered","SER-02329"
"Marvel Zombies: Dawn of Decay","Series","Marvel Zombies","line","Marvel Zombies","2024","2025","Covered","SER-02330"
"Absolute Carnage","Event","Absolute Carnage","era","Fresh Start","2019","2019","Covered","EVT-00039"
"Absolute Carnage: Avengers","Event","Absolute Carnage","era","Fresh Start","2019","2019","Covered","EVT-00180"
"Absolute Carnage: Captain Marvel","Event","Absolute Carnage","era","Fresh Start","2019","2019","Covered","EVT-00181"
"Absolute Carnage: Immortal Hulk","Event","Absolute Carnage","era","Fresh Start","2019","2019","Covered","EVT-00182"
"Absolute Carnage: Lethal Protectors","Event","Absolute Carnage","era","Fresh Start","2019","2019","Covered","EVT-00183"
"Absolute Carnage: Miles Morales","Event","Absolute Carnage","era","Fresh Start","2019","2019","Covered","EVT-00184"
"Absolute Carnage: Scream","Event","Absolute Carnage","era","Fresh Start","2019","2019","Covered","EVT-00185"
"Absolute Carnage: Separation Anxiety","Event","Absolute Carnage","era","Fresh Start","2019","2019","Covered","EVT-00186"
"Absolute Carnage: Symbiote of Vengeance","Event","Absolute Carnage","era","Fresh Start","2019","2019","Covered","EVT-00187"
"Absolute Carnage: Symbiote Spider-Man","Event","Absolute Carnage","era","Fresh Start","2019","2019","Covered","EVT-00188"
"Absolute Carnage: Weapon Plus","Event","Absolute Carnage","era","Fresh Start","2019","2019","Covered","EVT-00189"
"A.X.E.: Judgment Day","Event","Avengers","era","Fresh Start","2022","2022","Covered","EVT-00190"
"A.X.E.: Avengers","Event","Avengers","era","Fresh Start","2022","2022","Covered","EVT-00191"
"A.X.E.: Death to the Mutants","Event","Avengers","era","Fresh Start","2022","2022","Covered","EVT-00192"
"A.X.E.: Eternals","Event","Avengers","era","Fresh Start","2022","2022","Covered","EVT-00193"
"A.X.E.: Iron Fist","Event","Avengers","era","Fresh Start","2022","2022","Covered","EVT-00194"
"A.X.E.: Starfox","Event","Avengers","era","Fresh Start","2022","2022","Covered","EVT-00195"
"A.X.E.: X-Men","Event","Avengers","era","Fresh Start","2022","2022","Covered","EVT-00196"
"Blood Hunt","Event","Marvel Universe","era","Fresh Start","2024","2024","Covered","SER-01113"
"Blood Hunt: Red Band","Event","Marvel Universe","era","Fresh Start","2024","2024","Covered","EVT-00197"
"Dark Web","Event","Spider-Man","era","Fresh Start","2022","2023","Covered","EVT-00198"
"Dark Web: Ms. Marvel","Event","Spider-Man","era","Fresh Start","2022","2023","Covered","EVT-00199"
"Dark Web: X-Men","Event","Spider-Man","era","Fresh Start","2022","2023","Covered","EVT-00200"
"Devil's Reign","Event","Daredevil","era","Fresh Start","2021","2022","Covered","SER-01112"
"Devil's Reign: Superior Four","Event","Daredevil","era","Fresh Start","2022","2022","Covered","EVT-00201"
"Devil's Reign: Villains for Hire","Event","Daredevil","era","Fresh Start","2022","2022","Covered","EVT-00202"
"Empyre","Event","Empyre","era","Fresh Start","2020","2020","Covered","EVT-00041"
"Empyre: Avengers","Event","Empyre","era","Fresh Start","2020","2020","Covered","EVT-00203"
"Empyre: Captain America","Event","Empyre","era","Fresh Start","2020","2020","Covered","EVT-00204"
"Empyre: Fantastic Four","Event","Empyre","era","Fresh Start","2020","2020","Covered","EVT-00205"
"Empyre: Savage Avengers","Event","Empyre","era","Fresh Start","2020","2020","Covered","EVT-00206"
"Empyre: X-Men","Event","Empyre","era","Fresh Start","2020","2020","Covered","EVT-00207"
"Heroes Reborn","Event","Avengers","era","Fresh Start","2021","2021","Covered","EVT-00208"
"Heroes Return","Event","Avengers","era","Fresh Start","2021","2021","Covered","EVT-00209"
"King in Black","Event","King in Black","era","Fresh Start","2020","2021","Covered","EVT-00043"
"King in Black: Avengers","Event","King in Black","era","Fresh Start","2021","2021","Covered","EVT-00210"
"King in Black: Black Knight","Event","King in Black","era","Fresh Start","2021","2021","Covered","EVT-00211"
"King in Black: Captain America","Event","King in Black","era","Fresh Start","2021","2021","Covered","EVT-00212"
"King in Black: Ghost Rider","Event","King in Black","era","Fresh Start","2021","2021","Covered","EVT-00213"
"King in Black: Immortal Hulk","Event","King in Black","era","Fresh Start","2020","2020","Covered","EVT-00214"
"King in Black: Namor","Event","King in Black","era","Fresh Start","2020","2021","Covered","EVT-00215"
"King in Black: Planet of the Symbiotes","Event","King in Black","era","Fresh Start","2021","2021","Covered","EVT-00216"
"King in Black: Return of the Valkyries","Event","King in Black","era","Fresh Start","2021","2021","Covered","EVT-00217"
"King in Black: Scream","Event","King in Black","era","Fresh Start","2021","2021","Covered","EVT-00218"
"King in Black: Spider-Man","Event","King in Black","era","Fresh Start","2021","2021","Covered","EVT-00219"
"King in Black: Thunderbolts","Event","King in Black","era","Fresh Start","2021","2021","Covered","EVT-00220"
"King in Black: Wiccan and Hulkling","Event","King in Black","era","Fresh Start","2021","2021","Covered","EVT-00221"
"One World Under Doom","Event","Marvel Universe","era","Fresh Start","2025","2025","Covered","EVT-00222"
"Original Sin","Event","Marvel Universe","era","Fresh Start","2014","2014","Covered","EVT-00054"
"Secret Empire","Event","Secret Empire","era","Fresh Start","2017","2017","Covered","EVT-00044"
"Secret Empire: Brave New World","Event","Secret Empire","era","Fresh Start","2017","2017","Covered","EVT-00223"
"Secret Empire: Underground","Event","Secret Empire","era","Fresh Start","2017","2017","Covered","EVT-00224"
"Secret Empire: United","Event","Secret Empire","era","Fresh Start","2017","2017","Covered","EVT-00225"
"Secret Empire: Uprising","Event","Secret Empire","era","Fresh Start","2017","2017","Covered","EVT-00226"
"Secret Wars","Event","Secret Wars","era","Fresh Start","2015","2016","Covered","EVT-00227"
"Secret Wars: Battleworld","Event","Secret Wars","era","Fresh Start","2015","2015","Covered","EVT-00228"
"Secret Wars: Secret Love","Event","Secret Wars","era","Fresh Start","2015","2015","Covered","EVT-00229"
"Venom War","Event","Venom","era","Fresh Start","2024","2024","Covered","EVT-00230"
"Venom War: Carnage","Event","Venom","era","Fresh Start","2024","2024","Covered","EVT-00231"
"Venom War: Deadpool","Event","Venom","era","Fresh Start","2024","2024","Covered","EVT-00232"
"Venom War: Lethal Protectors","Event","Venom","era","Fresh Start","2024","2024","Covered","EVT-00233"
