"action","authority","title","publisher","publishing_line","record_id"
"AUDIT SERIES","Loki: Ragnarok and Roll","Loki: Ragnarok and Roll","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Lucas Stand","Lucas Stand","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Magic: The Gathering","Magic: The Gathering","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Magicians","The Magicians","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Malignant Man","Malignant Man","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Mamo","Mamo","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Man Who Came Down the Attic Stairs","The Man Who Came Down the Attic Stairs","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Maze Runner","Maze Runner","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Mega Man: Fully Charged","Mega Man: Fully Charged","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Mega Princess","Mega Princess","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Memetic","Memetic","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Mezolith","Mezolith","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Mickey Mouse","Mickey Mouse","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Midas Flesh","Midas Flesh","Boom! Studios","BOOM! Box",""
"AUDIT SERIES","Mighty Morphin Power Rangers","Mighty Morphin Power Rangers","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Monsters, Inc.","Monsters, Inc.","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Mr. Stuffins","Mr. Stuffins","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Munchkin","Munchkin","Boom! Studios","BOOM! Box",""
"AUDIT SERIES","The Muppets","The Muppets","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Musical Monsters of Turkey Hollow","The Musical Monsters of Turkey Hollow","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Necronomicon","Necronomicon","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Neighbors","The Neighbors","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Never as Bad as You Think","Never as Bad as You Think","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Ninja Tales","Ninja Tales","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Nola","Nola","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","North Wind","North Wind","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","NTSF:SD:SUV::","NTSF:SD:SUV::","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Oh, Killstrike","Oh, Killstrike","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Once Upon a Time at the End of the World","Once Upon a Time at the End of the World","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Operation: Broken Wings, 1936","Operation: Broken Wings, 1936","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Orcs!","Orcs!","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Origins","Origins","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Over the Garden Wall","Over the Garden Wall","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Pale Horse","Pale Horse","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Pandora's Legacy","Pandora's Legacy","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Peanuts","Peanuts","Boom! Studios","KaBOOM!",""
"AUDIT SERIES","Pirate Tales","Pirate Tales","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Planet of the Apes","Planet of the Apes","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Planetary Brigade","Planetary Brigade","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Plunder","Plunder","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Poe","Poe","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Polarity","Polarity","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Potter's Field","Potter's Field","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Power Up","Power Up","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Princess Who Saved Herself","The Princess Who Saved Herself","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Protocol: Orphans","Protocol: Orphans","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Pulp Tales: Josh Medors Benefit Comic","Pulp Tales: Josh Medors Benefit Comic","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Regarding the Matter of Oswald's Body","Regarding the Matter of Oswald's Body","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Regular Show","Regular Show","Boom! Studios","KaBOOM!",""
"AUDIT SERIES","The Remnant","The Remnant","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Returning","The Returning","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Revelations","Revelations","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Rinse","The Rinse","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Rocket Salvage","Rocket Salvage","Boom! Studios","Archaia",""
"AUDIT SERIES","Rocko's Modern Life","Rocko's Modern Life","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Rowans Ruin","Rowans Ruin","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Rugrats","Rugrats","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Ruinworld","Ruinworld","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Rush: Clockwork Angels","Rush: Clockwork Angels","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Salem: Queen of Thorns","Salem: Queen of Thorns","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Savage Brothers","The Savage Brothers","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Save Yourself!","Save Yourself!","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Scienthorlogy","Scienthorlogy","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Scream Queen","Scream Queen","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Seven Psychopaths","Seven Psychopaths","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Seven Secrets","Seven Secrets","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Seven Warriors","Seven Warriors","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Shmobots","Shmobots","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Sirens","Sirens","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Six-Gun Gorilla","Six-Gun Gorilla","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Skybourne","Skybourne","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Slaughterhouse-Five","Slaughterhouse-Five","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Sleepy Hollow","Sleepy Hollow","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Snarked!","Snarked!","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Snow Blind","Snow Blind","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Soldier Zero","Soldier Zero","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Sombra","Sombra","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Sons of Anarchy","Sons of Anarchy","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Space Warped","Space Warped","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Specs","Specs","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Specter Inspectors","Specter Inspectors","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Spire","The Spire","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Starborn","Starborn","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Station","Station","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Planet of the Apes","Star Trek/Planet of the Apes","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Steed and Mrs. Peel","Steed and Mrs. Peel","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Steven Universe","Steven Universe","Boom! Studios","KaBOOM!",""
"AUDIT SERIES","Strange Attractors","Strange Attractors","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Strange Fruit","Strange Fruit","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Suicide Risk","Suicide Risk","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Supurbia","Supurbia","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Swordsmith Assassin","Swordsmith Assassin","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Tag","Tag","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Planet of the Apes","Tarzan on the Planet of the Apes","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Teen Dog","Teen Dog","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Thomas Alsop","Thomas Alsop","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Toil and Trouble","Toil and Trouble","Boom! Studios","Archaia",""
"AUDIT SERIES","Toy Story","Toy Story","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Translucid","Translucid","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Traveler","The Traveler","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Turncoat","Turncoat","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","UFOlogy","UFOlogy","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Uncle Grandpa","Uncle Grandpa","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Uncle Scrooge","Uncle Scrooge","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Undertaker","The Undertaker","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","An Unkindness of Ravens","An Unkindness of Ravens","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Unknown","The Unknown","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Unthinkable","Unthinkable","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Valen the Outcast","Valen the Outcast","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Buffy the Vampire Slayer","The Vampire Slayer","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Venus","Venus","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","WALL-E","WALL-E","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Walt Disney's Comics and Stories","Walt Disney's Comics and Stories","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Planet of the Apes","War for the Planet of the Apes","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","War of the Worlds: Second Wave","War of the Worlds: Second Wave","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Warhammer","Warhammer","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Warhammer 40,000","Warhammer 40,000","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Warhammer","Warhammer Online","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Warlords of Appalachia","Warlords of Appalachia","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Weavers","Weavers","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Welcome Back","Welcome Back","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Wet Hot American Summer","Wet Hot American Summer","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","What Were They Thinking?!","What Were They Thinking?!","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Whisper","Whisper","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Wicked Things","Wicked Things","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Wizard Beach","Wizard Beach","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Wizards of Mickey","Wizards of Mickey","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Cars","The World of Cars","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","WWE","WWE","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","X Isle","X Isle","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Zombie Tales","Zombie Tales","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Alice Ever After","Alice Forever After","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Garfield","Baby Garfield","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","BRZRKR","BRZRKR: A Faceful of Bullets","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","BRZRKR","BRZRKR: Fallen Empire","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","BRZRKR: Light Draws Breath","BRZRKR: Light Draws Breath","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","BRZRKR","BRZRKR: Poetry of Madness","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Something is Killing the Children","Fall of the House of Slaughter","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Fence","Fence Challengers: Sweet Sixteen","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Flavor Girls","Flavor Girls: Return to the Mothership","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Hello Body Horror","Hello Body Horror","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Hello Halloween","Hello Halloween","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Hellraiser","Hellraiser: Resurrections","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Mighty Morphin Power Rangers","Mighty Morphin Power Rangers (2026)","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Neighborhood Watch","Neighborhood Watch","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Mighty Morphin Power Rangers","Power Rangers Prime","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Mighty Morphin Power Rangers","Power Rangers Unlimited","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Last Witch","The Last Witch: Blood & Betrayal","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Vampyrates!","Vampyrates!","Boom! Studios","BOOM! Studios",""
